年月,熊本_平均気温(℃),品質情報,熊本_平年値(℃),品質情報,札幌_平均気温(℃),品質情報,札幌_平年値(℃),品質情報,伊良湖_平均気温(℃),品質情報,伊良湖_平年値(℃),品質情報,水戸_平均気温(℃),品質情報,水戸_平年値(℃),品質情報,千葉_平均気温(℃),品質情報,千葉_平年値(℃),品質情報
2025/1,5.8,8,6.0,8,-1.2,8,-3.2,8,6.7,8,6.0,8,4.6,8,3.3,8,7.3,8,6.1,8
2025/2,5.2,8,7.4,8,-0.9,8,-2.7,8,5.5,8,6.3,8,4.3,8,4.1,8,7.1,8,6.6,8
2025/3,12.0,8,10.9,8,2.0,8,1.1,8,10.5,8,9.4,8,9.1,8,7.4,8,11.0,8,9.6,8
2025/4,16.2,8,15.8,8,8.5,8,7.3,8,15.3,8,14.3,8,14.0,8,12.3,8,15.8,8,14.5,8
2025/5,20.1,8,20.5,8,14.9,8,13.0,8,19.0,8,18.8,8,17.7,8,17.0,8,19.3,8,18.9,8
2025/6,25.2,8,23.7,8,20.6,8,17.0,8,24.0,8,22.2,8,23.8,8,20.3,8,24.8,8,21.9,8
2025/7,29.7,8,27.5,8,25.8,8,21.1,8,28.3,8,26.1,8,27.6,8,24.2,8,28.2,8,25.7,8
2025/8,29.2,8,28.4,8,24.7,8,22.3,8,29.2,8,27.4,8,28.0,8,25.6,8,29.5,8,27.1,8
2025/9,28.0,8,25.2,8,20.7,8,18.6,8,26.7,8,24.4,8,25.2,8,22.1,8,26.8,8,23.8,8
