年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2025,9,15,月,野菜総計,30000,,,108040,302,0.9,108.2
2025,9,15,月,野菜総計,30000,北海道,001,23604,220,,
2025,9,15,月,野菜総計,30000,群　馬,010,21005,141,,
2025,9,15,月,野菜総計,30000,長　野,020,19180,256,,
2025,9,15,月,野菜総計,30000,沖　縄,047,18260,377,,
2025,9,15,月,野菜総計,30000,熊　本,043,5207,374,,
2025,9,15,月,野菜総計,30000,大　分,044,3797,845,,
2025,9,15,月,野菜総計,30000,鹿児島,046,2536,719,,
2025,9,15,月,だいこん,30100,,,3743,140,0.4,112.9
2025,9,15,月,だいこん,30100,北海道,001,3740,137,,
2025,9,15,月,にんじん,30300,,,3160,256,0.5,170.7
2025,9,15,月,にんじん,30300,北海道,001,1860,241,,
2025,9,15,月,にんじん,30300,沖　縄,047,60,3119,,
2025,9,15,月,ごぼう,30400,,,962,382,1.7,93.6
2025,9,15,月,ごぼう,30400,鹿児島,046,342,333,,
2025,9,15,月,ごぼう,30400,青　森,002,290,425,,
2025,9,15,月,ごぼう,30400,宮　崎,045,150,486,,
2025,9,15,月,はくさい,31100,,,4914,241,0.5,209.6
2025,9,15,月,はくさい,31100,長　野,020,4890,239,,
2025,9,15,月,みずな,31300,,,170,724,0.5,161.6
2025,9,15,月,みずな,31300,福　岡,040,120,699,,
2025,9,15,月,みずな,31300,茨　城,008,50,783,,
2025,9,15,月,こまつな,31500,,,1644,393,1.3,108.9
2025,9,15,月,こまつな,31500,鹿児島,046,732,509,,
2025,9,15,月,こまつな,31500,福　岡,040,520,167,,
2025,9,15,月,こまつな,31500,沖　縄,047,392,475,,
2025,9,15,月,その他の菜類,31550,,,189,448,23.1,65.3
2025,9,15,月,ちんげんさい,31560,,,234,615,0.9,126.0
2025,9,15,月,ちんげんさい,31560,沖　縄,047,194,559,,
2025,9,15,月,キャベツ,31700,,,23760,141,1.4,148.4
2025,9,15,月,キャベツ,31700,群　馬,010,20980,139,,
2025,9,15,月,ほうれんそう,31800,,,40,1451,0.1,145.5
2025,9,15,月,ほうれんそう,31800,群　馬,010,25,1220,,
2025,9,15,月,ほうれんそう,31800,栃　木,009,15,1836,,
2025,9,15,月,ねぎ,31900,,,1312,531,0.4,104.7
2025,9,15,月,ねぎ,31900,北海道,001,1074,584,,
2025,9,15,月,みつば,32500,,,14,933,0.2,95.1
2025,9,15,月,みつば,32500,埼　玉,011,12,918,,
2025,9,15,月,にら,32800,,,363,1137,0.7,118.7
2025,9,15,月,にら,32800,鹿児島,046,165,1384,,
2025,9,15,月,にら,32800,福　岡,040,110,1191,,
2025,9,15,月,にら,32800,沖　縄,047,78,528,,
2025,9,15,月,セルリー,32900,,,980,317,2.0,115.3
2025,9,15,月,セルリー,32900,長　野,020,200,266,,
2025,9,15,月,カリフラワー,33200,,,12,1153,0.1,355.9
2025,9,15,月,カリフラワー,33200,長　野,020,12,1153,,
2025,9,15,月,ブロッコリー,33300,,,170,709,0.1,113.8
2025,9,15,月,ブロッコリー,33300,長　野,020,150,724,,
2025,9,15,月,レタス,33400,,,13744,250,1.8,123.2
2025,9,15,月,レタス,33400,長　野,020,13248,255,,
2025,9,15,月,パセリ,33600,,,40,3703,1.9,126.9
2025,9,15,月,パセリ,33600,大　分,044,40,3703,,
2025,9,15,月,きゅうり,34100,,,5384,510,1.0,119.2
2025,9,15,月,きゅうり,34100,沖　縄,047,3734,512,,
2025,9,15,月,きゅうり,34100,熊　本,043,1300,495,,
2025,9,15,月,かぼちゃ,34200,,,2464,210,0.5,113.5
2025,9,15,月,かぼちゃ,34200,北海道,001,2300,167,,
2025,9,15,月,なす,34300,,,2553,302,1.0,74.6
2025,9,15,月,なす,34300,沖　縄,047,987,295,,
2025,9,15,月,なす,34300,熊　本,043,871,337,,
2025,9,15,月,なす,34300,宮　崎,045,505,262,,
2025,9,15,月,トマト,34400,,,2941,843,0.8,139.3
2025,9,15,月,トマト,34400,大　分,044,2294,868,,
2025,9,15,月,トマト,34400,熊　本,043,472,763,,
2025,9,15,月,ミニトマト,34450,,,1385,1154,0.9,102.4
2025,9,15,月,ミニトマト,34450,宮　崎,045,510,1236,,
2025,9,15,月,ミニトマト,34450,鹿児島,046,360,1188,,
2025,9,15,月,ミニトマト,34450,大　分,044,357,979,,
2025,9,15,月,ピーマン,34500,,,2255,607,0.9,122.6
2025,9,15,月,ピーマン,34500,大　分,044,1077,624,,
2025,9,15,月,ピーマン,34500,熊　本,043,508,492,,
2025,9,15,月,ピーマン,34500,茨　城,008,364,688,,
2025,9,15,月,ししとう,34600,,,60,2047,0.6,146.0
2025,9,15,月,ししとう,34600,高　知,039,33,2292,,
2025,9,15,月,ししとう,34600,長　崎,042,27,1747,,
2025,9,15,月,さやいんげん,35100,,,64,1699,0.9,121.0
2025,9,15,月,さやいんげん,35100,宮　崎,045,64,1699,,
2025,9,15,月,かんしょ,36100,,,210,309,0.1,105.8
2025,9,15,月,かんしょ,36100,沖　縄,047,210,309,,
2025,9,15,月,ばれいしょ,36200,,,3130,253,0.3,166.4
2025,9,15,月,ばれいしょ,36200,北海道,001,3030,251,,
2025,9,15,月,やまのいも,36500,,,180,610,0.1,121.3
2025,9,15,月,やまのいも,36500,北海道,001,160,594,,
2025,9,15,月,たまねぎ,36610,,,15780,177,1.1,123.8
2025,9,15,月,たまねぎ,36610,北海道,001,11260,205,,
2025,9,15,月,　　うち輸入,36620,,,4520,107,8.9,97.3
2025,9,15,月,にんにく,36700,,,964,507,8.0,55.1
2025,9,15,月,にんにく,36700,青　森,002,10,3132,,
2025,9,15,月,　　うち輸入,36701,,,954,479,11.3,105.0
2025,9,15,月,しょうが,37200,,,145,1086,0.5,115.2
2025,9,15,月,しょうが,37200,長　崎,042,68,1323,,
2025,9,15,月,しょうが,37200,沖　縄,047,45,1026,,
2025,9,15,月,　　うち輸入,37201,,,32,668,0.7,120.8
2025,9,15,月,生しいたけ,38100,,,62,1611,0.1,162.2
2025,9,15,月,生しいたけ,38100,長　崎,042,50,1662,,
2025,9,15,月,なめこ,38300,,,38,723,0.2,166.6
2025,9,15,月,なめこ,38300,長　崎,042,30,707,,
2025,9,15,月,なめこ,38300,大　分,044,8,781,,
2025,9,15,月,えのきだけ,38400,,,714,306,0.6,95.3
2025,9,15,月,えのきだけ,38400,長　崎,042,714,306,,
2025,9,15,月,しめじ,38500,,,516,464,0.6,103.8
2025,9,15,月,しめじ,38500,福　岡,040,516,464,,
2025,9,15,月,その他の野菜,39000,,,13746,403,4.5,38.7
2025,9,15,月,輸入野菜計,39100,,,8054,204,6.5,35.6
2025,9,15,月,他の輸入野菜,39200,,,2549,267,4.4,27.4
