年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2025,9,8,月,野菜総計,30000,,,14034381,301,129.2,97.7
2025,9,8,月,野菜総計,30000,北海道,001,5320990,233,,
2025,9,8,月,野菜総計,30000,長　野,020,2582077,219,,
2025,9,8,月,野菜総計,30000,群　馬,010,1852806,169,,
2025,9,8,月,野菜総計,30000,青　森,002,550592,345,,
2025,9,8,月,野菜総計,30000,茨　城,008,539121,453,,
2025,9,8,月,野菜総計,30000,岩　手,003,391210,295,,
2025,9,8,月,野菜総計,30000,岐　阜,021,308267,574,,
2025,9,8,月,だいこん,30100,,,928778,131,103.5,104.0
2025,9,8,月,だいこん,30100,北海道,001,562914,141,,
2025,9,8,月,だいこん,30100,青　森,002,263223,106,,
2025,9,8,月,かぶ,30200,,,32236,211,104.5,95.5
2025,9,8,月,かぶ,30200,千　葉,012,13848,165,,
2025,9,8,月,かぶ,30200,青　森,002,11750,304,,
2025,9,8,月,かぶ,30200,埼　玉,011,4859,131,,
2025,9,8,月,にんじん,30300,,,900946,155,116.7,100.0
2025,9,8,月,にんじん,30300,北海道,001,874120,156,,
2025,9,8,月,ごぼう,30400,,,74188,407,116.2,100.2
2025,9,8,月,ごぼう,30400,青　森,002,20928,363,,
2025,9,8,月,ごぼう,30400,鹿児島,046,17564,562,,
2025,9,8,月,ごぼう,30400,北海道,001,13290,274,,
2025,9,8,月,ごぼう,30400,宮　崎,045,12076,471,,
2025,9,8,月,たけのこ,30500,,,60,733,－,－
2025,9,8,月,たけのこ,30500,鹿児島,046,60,733,,
2025,9,8,月,れんこん,30600,,,80085,387,106.5,102.4
2025,9,8,月,れんこん,30600,茨　城,008,44841,381,,
2025,9,8,月,れんこん,30600,佐　賀,041,11755,330,,
2025,9,8,月,れんこん,30600,愛　知,023,10007,355,,
2025,9,8,月,はくさい,31100,,,1072409,131,172.5,103.1
2025,9,8,月,はくさい,31100,長　野,020,962276,130,,
2025,9,8,月,みずな,31300,,,36046,449,104.8,95.5
2025,9,8,月,みずな,31300,茨　城,008,27642,409,,
2025,9,8,月,みずな,31300,福　岡,040,3963,537,,
2025,9,8,月,こまつな,31500,,,149663,399,121.8,101.0
2025,9,8,月,こまつな,31500,茨　城,008,74331,392,,
2025,9,8,月,こまつな,31500,福　岡,040,28961,366,,
2025,9,8,月,こまつな,31500,群　馬,010,12732,363,,
2025,9,8,月,こまつな,31500,和歌山,030,5180,326,,
2025,9,8,月,その他の菜類,31550,,,802,709,127.3,93.5
2025,9,8,月,ちんげんさい,31560,,,28609,485,114.7,97.0
2025,9,8,月,ちんげんさい,31560,茨　城,008,9214,468,,
2025,9,8,月,ちんげんさい,31560,静　岡,022,6048,564,,
2025,9,8,月,ちんげんさい,31560,長　野,020,4272,341,,
2025,9,8,月,ちんげんさい,31560,福　岡,040,2119,477,,
2025,9,8,月,ちんげんさい,31560,埼　玉,011,1483,411,,
2025,9,8,月,キャベツ,31700,,,1923388,94,122.1,105.6
2025,9,8,月,キャベツ,31700,群　馬,010,1411215,90,,
2025,9,8,月,キャベツ,31700,長　野,020,227289,100,,
2025,9,8,月,ほうれんそう,31800,,,70003,1051,127.4,100.9
2025,9,8,月,ほうれんそう,31800,岐　阜,021,29385,1072,,
2025,9,8,月,ほうれんそう,31800,群　馬,010,20024,957,,
2025,9,8,月,ほうれんそう,31800,栃　木,009,9550,1075,,
2025,9,8,月,ねぎ,31900,,,361119,512,109.2,99.4
2025,9,8,月,ねぎ,31900,北海道,001,141162,456,,
2025,9,8,月,ねぎ,31900,秋　田,005,51878,441,,
2025,9,8,月,ねぎ,31900,青　森,002,37502,502,,
2025,9,8,月,ねぎ,31900,長　野,020,19111,425,,
2025,9,8,月,ねぎ,31900,茨　城,008,16542,415,,
2025,9,8,月,ふき,32300,,,8,1345,－,－
2025,9,8,月,ふき,32300,徳　島,036,8,1345,,
2025,9,8,月,うど,32400,,,80,598,90.9,99.0
2025,9,8,月,うど,32400,栃　木,009,80,598,,
2025,9,8,月,みつば,32500,,,8524,931,94.3,100.3
2025,9,8,月,みつば,32500,三　重,024,1300,1102,,
2025,9,8,月,みつば,32500,千　葉,012,1283,816,,
2025,9,8,月,みつば,32500,愛　知,023,1211,1003,,
2025,9,8,月,みつば,32500,静　岡,022,1136,832,,
2025,9,8,月,みつば,32500,大　分,044,850,876,,
2025,9,8,月,しゅんぎく,32600,,,3315,1833,119.4,102.3
2025,9,8,月,しゅんぎく,32600,岐　阜,021,785,2080,,
2025,9,8,月,しゅんぎく,32600,北海道,001,452,1785,,
2025,9,8,月,しゅんぎく,32600,岩　手,003,402,2132,,
2025,9,8,月,しゅんぎく,32600,群　馬,010,387,2123,,
2025,9,8,月,しゅんぎく,32600,福　岡,040,364,1459,,
2025,9,8,月,にら,32800,,,50935,852,96.0,109.8
2025,9,8,月,にら,32800,高　知,039,13991,870,,
2025,9,8,月,にら,32800,北海道,001,8445,958,,
2025,9,8,月,にら,32800,山　形,006,8112,800,,
2025,9,8,月,にら,32800,大　分,044,5650,737,,
2025,9,8,月,にら,32800,茨　城,008,4662,793,,
2025,9,8,月,セルリー,32900,,,47145,272,107.9,91.9
2025,9,8,月,セルリー,32900,長　野,020,44635,267,,
2025,9,8,月,アスパラガス,33100,,,42738,1161,129.0,103.0
2025,9,8,月,アスパラガス,33100,栃　木,009,7571,1137,,
2025,9,8,月,アスパラガス,33100,佐　賀,041,6678,1159,,
2025,9,8,月,アスパラガス,33100,熊　本,043,5302,1063,,
2025,9,8,月,アスパラガス,33100,長　崎,042,4560,1032,,
2025,9,8,月,アスパラガス,33100,福　岡,040,3745,1083,,
2025,9,8,月,　　うち輸入,33101,,,1604,1650,155.3,126.8
2025,9,8,月,カリフラワー,33200,,,17530,332,150.0,98.2
2025,9,8,月,カリフラワー,33200,長　野,020,17062,329,,
2025,9,8,月,ブロッコリー,33300,,,210970,618,128.6,98.7
2025,9,8,月,ブロッコリー,33300,北海道,001,170677,574,,
2025,9,8,月,レタス,33400,,,1149942,240,171.6,96.0
2025,9,8,月,レタス,33400,長　野,020,999998,242,,
2025,9,8,月,パセリ,33600,,,1898,2892,75.3,105.9
2025,9,8,月,パセリ,33600,長　野,020,1208,2658,,
2025,9,8,月,パセリ,33600,北海道,001,159,3315,,
2025,9,8,月,パセリ,33600,千　葉,012,130,2151,,
