年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2025,9,23,火,野菜総計,30000,,,1306313,250,8.7,83.6
2025,9,23,火,野菜総計,30000,北海道,001,519171,187,,
2025,9,23,火,野菜総計,30000,長　野,020,327523,141,,
2025,9,23,火,野菜総計,30000,熊　本,043,139589,345,,
2025,9,23,火,野菜総計,30000,福　岡,040,71415,446,,
2025,9,23,火,野菜総計,30000,大　分,044,53152,609,,
2025,9,23,火,野菜総計,30000,佐　賀,041,41671,401,,
2025,9,23,火,野菜総計,30000,群　馬,010,33729,135,,
2025,9,23,火,だいこん,30100,,,85485,109,7.7,75.7
2025,9,23,火,だいこん,30100,北海道,001,68050,117,,
2025,9,23,火,だいこん,30100,熊　本,043,10442,76,,
2025,9,23,火,にんじん,30300,,,48001,142,5.5,100.0
2025,9,23,火,にんじん,30300,北海道,001,41910,153,,
2025,9,23,火,ごぼう,30400,,,10522,319,10.6,91.1
2025,9,23,火,ごぼう,30400,青　森,002,6887,289,,
2025,9,23,火,ごぼう,30400,宮　崎,045,746,563,,
2025,9,23,火,ごぼう,30400,鹿児島,046,731,686,,
2025,9,23,火,ごぼう,30400,熊　本,043,194,908,,
2025,9,23,火,れんこん,30600,,,12001,278,12.7,64.2
2025,9,23,火,れんこん,30600,佐　賀,041,12001,278,,
2025,9,23,火,はくさい,31100,,,188061,96,13.4,102.1
2025,9,23,火,はくさい,31100,長　野,020,187986,96,,
2025,9,23,火,みずな,31300,,,2602,574,6.8,116.2
2025,9,23,火,みずな,31300,福　岡,040,2590,575,,
2025,9,23,火,こまつな,31500,,,6993,428,4.5,99.3
2025,9,23,火,こまつな,31500,福　岡,040,6309,422,,
2025,9,23,火,その他の菜類,31550,,,13,345,2.3,51.1
2025,9,23,火,ちんげんさい,31560,,,2249,588,7.4,113.3
2025,9,23,火,ちんげんさい,31560,福　岡,040,1034,541,,
2025,9,23,火,ちんげんさい,31560,熊　本,043,900,654,,
2025,9,23,火,キャベツ,31700,,,88240,102,4.7,107.4
2025,9,23,火,キャベツ,31700,熊　本,043,46760,103,,
2025,9,23,火,キャベツ,31700,群　馬,010,26890,108,,
2025,9,23,火,ほうれんそう,31800,,,2419,1337,3.9,130.2
2025,9,23,火,ほうれんそう,31800,長　野,020,760,1429,,
2025,9,23,火,ほうれんそう,31800,長　崎,042,607,1290,,
2025,9,23,火,ほうれんそう,31800,佐　賀,041,377,1366,,
2025,9,23,火,ほうれんそう,31800,熊　本,043,360,1187,,
2025,9,23,火,ねぎ,31900,,,29292,528,6.6,101.7
2025,9,23,火,ねぎ,31900,北海道,001,13907,482,,
2025,9,23,火,ねぎ,31900,大　分,044,6016,582,,
2025,9,23,火,ねぎ,31900,長　野,020,3740,394,,
2025,9,23,火,みつば,32500,,,596,1060,6.0,95.1
2025,9,23,火,みつば,32500,大　分,044,447,1017,,
2025,9,23,火,みつば,32500,福　岡,040,66,982,,
2025,9,23,火,しゅんぎく,32600,,,411,1213,10.8,70.8
2025,9,23,火,しゅんぎく,32600,福　岡,040,308,1308,,
2025,9,23,火,しゅんぎく,32600,熊　本,043,68,984,,
2025,9,23,火,にら,32800,,,6755,882,10.9,96.2
2025,9,23,火,にら,32800,大　分,044,3420,878,,
2025,9,23,火,にら,32800,宮　崎,045,1027,822,,
2025,9,23,火,にら,32800,熊　本,043,707,833,,
2025,9,23,火,にら,32800,高　知,039,620,979,,
2025,9,23,火,セルリー,32900,,,4380,227,9.0,87.0
2025,9,23,火,セルリー,32900,長　野,020,4380,227,,
2025,9,23,火,アスパラガス,33100,,,2593,928,7.3,81.0
2025,9,23,火,アスパラガス,33100,福　岡,040,1568,920,,
2025,9,23,火,アスパラガス,33100,長　崎,042,425,817,,
2025,9,23,火,アスパラガス,33100,熊　本,043,360,941,,
2025,9,23,火,　　うち輸入,33101,,,14,1913,0.4,137.3
2025,9,23,火,カリフラワー,33200,,,1137,239,5.6,81.8
2025,9,23,火,カリフラワー,33200,熊　本,043,591,122,,
2025,9,23,火,カリフラワー,33200,長　野,020,546,367,,
2025,9,23,火,ブロッコリー,33300,,,7677,662,3.6,106.1
2025,9,23,火,ブロッコリー,33300,北海道,001,3887,520,,
2025,9,23,火,ブロッコリー,33300,長　野,020,3790,808,,
2025,9,23,火,レタス,33400,,,129205,168,9.9,107.0
2025,9,23,火,レタス,33400,長　野,020,120350,167,,
2025,9,23,火,パセリ,33600,,,273,2923,12.7,79.0
2025,9,23,火,パセリ,33600,大　分,044,133,3268,,
2025,9,23,火,パセリ,33600,長　野,020,85,2192,,
2025,9,23,火,パセリ,33600,佐　賀,041,45,3210,,
2025,9,23,火,きゅうり,34100,,,55933,428,7.7,93.2
2025,9,23,火,きゅうり,34100,佐　賀,041,21893,442,,
2025,9,23,火,きゅうり,34100,熊　本,043,12630,393,,
2025,9,23,火,きゅうり,34100,福　岡,040,10540,437,,
2025,9,23,火,かぼちゃ,34200,,,39994,151,7.6,76.6
2025,9,23,火,かぼちゃ,34200,北海道,001,39632,143,,
2025,9,23,火,なす,34300,,,26359,324,7.1,79.2
2025,9,23,火,なす,34300,福　岡,040,11850,305,,
2025,9,23,火,なす,34300,熊　本,043,8493,293,,
2025,9,23,火,なす,34300,大　分,044,4610,442,,
2025,9,23,火,トマト,34400,,,55011,581,6.7,85.6
2025,9,23,火,トマト,34400,熊　本,043,43398,571,,
2025,9,23,火,トマト,34400,大　分,044,8906,634,,
2025,9,23,火,ミニトマト,34450,,,12625,1160,5.1,103.1
2025,9,23,火,ミニトマト,34450,熊　本,043,3147,1139,,
2025,9,23,火,ミニトマト,34450,大　分,044,2431,1197,,
2025,9,23,火,ミニトマト,34450,宮　崎,045,2379,1126,,
2025,9,23,火,ミニトマト,34450,北海道,001,1767,1358,,
2025,9,23,火,ミニトマト,34450,長　崎,042,1301,1065,,
2025,9,23,火,ピーマン,34500,,,20989,518,7.7,101.6
2025,9,23,火,ピーマン,34500,大　分,044,14002,491,,
2025,9,23,火,ピーマン,34500,熊　本,043,3326,485,,
2025,9,23,火,ししとう,34600,,,249,1314,1.6,100.2
2025,9,23,火,ししとう,34600,高　知,039,138,1587,,
2025,9,23,火,ししとう,34600,長　崎,042,45,1152,,
2025,9,23,火,ししとう,34600,大　分,044,41,502,,
2025,9,23,火,さやいんげん,35100,,,247,1338,2.9,87.1
2025,9,23,火,さやいんげん,35100,熊　本,043,75,1093,,
2025,9,23,火,さやいんげん,35100,大　分,044,64,1293,,
2025,9,23,火,さやいんげん,35100,福　岡,040,48,1109,,
2025,9,23,火,さやいんげん,35100,北海道,001,32,2251,,
2025,9,23,火,さやえんどう,35200,,,53,2284,2.3,108.3
2025,9,23,火,さやえんどう,35200,北海道,001,26,3161,,
2025,9,23,火,　　うち輸入,35201,,,27,1440,2.5,160.7
2025,9,23,火,えだまめ,35500,,,477,664,1.2,75.9
2025,9,23,火,えだまめ,35500,大　分,044,320,590,,
2025,9,23,火,えだまめ,35500,福　岡,040,130,613,,
2025,9,23,火,かんしょ,36100,,,14531,288,3.4,99.7
2025,9,23,火,かんしょ,36100,宮　崎,045,6807,256,,
2025,9,23,火,かんしょ,36100,熊　本,043,3379,285,,
2025,9,23,火,かんしょ,36100,鹿児島,046,2100,375,,
2025,9,23,火,ばれいしょ,36200,,,69460,171,8.0,112.5
2025,9,23,火,ばれいしょ,36200,北海道,001,62740,172,,
2025,9,23,火,さといも,36300,,,1736,414,2.5,98.3
2025,9,23,火,さといも,36300,宮　崎,045,720,372,,
2025,9,23,火,さといも,36300,鹿児島,046,300,455,,
2025,9,23,火,さといも,36300,愛　媛,038,270,519,,
2025,9,23,火,さといも,36300,熊　本,043,172,296,,
2025,9,23,火,やまのいも,36500,,,20340,519,13.0,101.4
2025,9,23,火,やまのいも,36500,北海道,001,19500,515,,
2025,9,23,火,たまねぎ,36610,,,284110,164,17.3,92.7
2025,9,23,火,たまねぎ,36610,北海道,001,262640,168,,
2025,9,23,火,　　うち輸入,36620,,,15605,87,34.8,73.7
2025,9,23,火,にんにく,36700,,,1175,677,6.7,50.1
2025,9,23,火,にんにく,36700,青　森,002,180,2256,,
2025,9,23,火,　　うち輸入,36701,,,995,392,12.5,84.5
2025,9,23,火,しょうが,37200,,,4512,770,13.8,80.5
2025,9,23,火,しょうが,37200,長　崎,042,3954,761,,
2025,9,23,火,　　うち輸入,37201,,,280,558,4.8,100.5
2025,9,23,火,生しいたけ,38100,,,6202,940,8.5,93.5
2025,9,23,火,生しいたけ,38100,長　崎,042,3167,955,,
2025,9,23,火,生しいたけ,38100,大　分,044,1468,918,,
2025,9,23,火,生しいたけ,38100,宮　崎,045,682,1022,,
2025,9,23,火,なめこ,38300,,,1996,519,6.6,118.8
2025,9,23,火,なめこ,38300,大　分,044,1113,518,,
2025,9,23,火,なめこ,38300,長　崎,042,883,519,,
2025,9,23,火,えのきだけ,38400,,,21213,308,12.7,96.9
2025,9,23,火,えのきだけ,38400,福　岡,040,6529,290,,
2025,9,23,火,えのきだけ,38400,宮　崎,045,6301,353,,
2025,9,23,火,えのきだけ,38400,長　崎,042,5898,280,,
2025,9,23,火,しめじ,38500,,,11966,394,11.5,90.2
2025,9,23,火,しめじ,38500,福　岡,040,11734,385,,
2025,9,23,火,その他の野菜,39000,,,28239,725,8.2,69.0
2025,9,23,火,輸入野菜計,39100,,,29192,189,22.0,30.6
2025,9,23,火,他の輸入野菜,39200,,,12270,289,18.1,31.3
