年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2025,9,30,火,野菜総計,30000,,,11723774,293,86.0,96.7
2025,9,30,火,野菜総計,30000,北海道,001,4312168,216,,
2025,9,30,火,野菜総計,30000,長　野,020,2321837,213,,
2025,9,30,火,野菜総計,30000,群　馬,010,1547811,165,,
2025,9,30,火,野菜総計,30000,茨　城,008,573643,431,,
2025,9,30,火,野菜総計,30000,青　森,002,508772,285,,
2025,9,30,火,野菜総計,30000,千　葉,012,252413,418,,
2025,9,30,火,野菜総計,30000,岩　手,003,202237,299,,
2025,9,30,火,だいこん,30100,,,1055549,148,96.1,98.7
2025,9,30,火,だいこん,30100,北海道,001,595810,146,,
2025,9,30,火,だいこん,30100,青　森,002,335849,148,,
2025,9,30,火,かぶ,30200,,,56886,178,117.3,91.8
2025,9,30,火,かぶ,30200,千　葉,012,28956,155,,
2025,9,30,火,かぶ,30200,青　森,002,12693,273,,
2025,9,30,火,かぶ,30200,埼　玉,011,9256,121,,
2025,9,30,火,にんじん,30300,,,670090,135,76.6,101.5
2025,9,30,火,にんじん,30300,北海道,001,652467,135,,
2025,9,30,火,ごぼう,30400,,,62716,370,92.5,97.4
2025,9,30,火,ごぼう,30400,青　森,002,26298,295,,
2025,9,30,火,ごぼう,30400,北海道,001,14170,250,,
2025,9,30,火,ごぼう,30400,鹿児島,046,12344,653,,
2025,9,30,火,れんこん,30600,,,84533,423,101.1,102.2
2025,9,30,火,れんこん,30600,茨　城,008,53450,422,,
2025,9,30,火,れんこん,30600,佐　賀,041,12781,321,,
2025,9,30,火,れんこん,30600,徳　島,036,9786,482,,
2025,9,30,火,はくさい,31100,,,1234243,122,89.3,101.7
2025,9,30,火,はくさい,31100,長　野,020,1083714,121,,
2025,9,30,火,みずな,31300,,,36538,487,93.6,101.9
2025,9,30,火,みずな,31300,茨　城,008,26190,448,,
2025,9,30,火,みずな,31300,福　岡,040,4468,542,,
2025,9,30,火,こまつな,31500,,,157824,429,93.7,98.6
2025,9,30,火,こまつな,31500,茨　城,008,79938,408,,
2025,9,30,火,こまつな,31500,福　岡,040,18470,458,,
2025,9,30,火,こまつな,31500,群　馬,010,15459,363,,
2025,9,30,火,こまつな,31500,埼　玉,011,7014,438,,
2025,9,30,火,こまつな,31500,北海道,001,6788,477,,
2025,9,30,火,その他の菜類,31550,,,1624,462,182.3,69.8
2025,9,30,火,ちんげんさい,31560,,,37767,490,125.1,99.4
2025,9,30,火,ちんげんさい,31560,茨　城,008,14761,433,,
2025,9,30,火,ちんげんさい,31560,静　岡,022,7002,587,,
2025,9,30,火,ちんげんさい,31560,長　野,020,4235,413,,
2025,9,30,火,ちんげんさい,31560,福　岡,040,2755,621,,
2025,9,30,火,ちんげんさい,31560,埼　玉,011,2166,415,,
2025,9,30,火,キャベツ,31700,,,1710658,92,95.6,97.9
2025,9,30,火,キャベツ,31700,群　馬,010,1235585,91,,
2025,9,30,火,キャベツ,31700,長　野,020,233445,96,,
2025,9,30,火,ほうれんそう,31800,,,53498,1136,87.9,98.6
2025,9,30,火,ほうれんそう,31800,群　馬,010,16713,1073,,
2025,9,30,火,ほうれんそう,31800,岐　阜,021,12580,1141,,
2025,9,30,火,ほうれんそう,31800,栃　木,009,9659,1241,,
2025,9,30,火,ほうれんそう,31800,北海道,001,5595,962,,
2025,9,30,火,ねぎ,31900,,,355207,526,84.7,100.4
2025,9,30,火,ねぎ,31900,北海道,001,128841,470,,
2025,9,30,火,ねぎ,31900,長　野,020,43146,446,,
2025,9,30,火,ねぎ,31900,青　森,002,34490,522,,
2025,9,30,火,ねぎ,31900,秋　田,005,27703,489,,
2025,9,30,火,ねぎ,31900,茨　城,008,20135,426,,
2025,9,30,火,みつば,32500,,,9189,1129,104.3,95.9
2025,9,30,火,みつば,32500,愛　知,023,1287,1148,,
2025,9,30,火,みつば,32500,千　葉,012,1233,1020,,
2025,9,30,火,みつば,32500,茨　城,008,1163,927,,
2025,9,30,火,みつば,32500,静　岡,022,1145,1044,,
2025,9,30,火,みつば,32500,大　分,044,1128,947,,
2025,9,30,火,しゅんぎく,32600,,,4327,1595,106.2,90.6
2025,9,30,火,しゅんぎく,32600,北海道,001,671,1501,,
2025,9,30,火,しゅんぎく,32600,青　森,002,564,1243,,
2025,9,30,火,しゅんぎく,32600,福　岡,040,531,1427,,
2025,9,30,火,しゅんぎく,32600,岩　手,003,459,2025,,
2025,9,30,火,しゅんぎく,32600,岐　阜,021,426,1770,,
2025,9,30,火,にら,32800,,,53564,910,86.8,99.5
2025,9,30,火,にら,32800,高　知,039,20860,873,,
2025,9,30,火,にら,32800,茨　城,008,6238,901,,
2025,9,30,火,にら,32800,大　分,044,5870,795,,
2025,9,30,火,にら,32800,栃　木,009,5723,1025,,
2025,9,30,火,にら,32800,北海道,001,3846,1154,,
2025,9,30,火,セルリー,32900,,,51925,258,109.7,99.6
2025,9,30,火,セルリー,32900,長　野,020,50303,255,,
2025,9,30,火,アスパラガス,33100,,,21138,1184,79.4,100.8
2025,9,30,火,アスパラガス,33100,栃　木,009,2520,1139,,
2025,9,30,火,アスパラガス,33100,熊　本,043,2058,1078,,
2025,9,30,火,アスパラガス,33100,福　岡,040,2014,1029,,
2025,9,30,火,アスパラガス,33100,長　野,020,1925,1257,,
2025,9,30,火,アスパラガス,33100,長　崎,042,1770,1034,,
2025,9,30,火,　　うち輸入,33101,,,3474,1386,84.9,98.9
2025,9,30,火,カリフラワー,33200,,,15873,298,95.0,100.7
2025,9,30,火,カリフラワー,33200,長　野,020,10412,328,,
2025,9,30,火,カリフラワー,33200,新　潟,015,1782,339,,
2025,9,30,火,カリフラワー,33200,熊　本,043,1415,68,,
2025,9,30,火,ブロッコリー,33300,,,188042,587,89.8,93.0
2025,9,30,火,ブロッコリー,33300,北海道,001,140362,534,,
2025,9,30,火,ブロッコリー,33300,長　野,020,45705,749,,
2025,9,30,火,レタス,33400,,,760818,246,71.9,106.5
2025,9,30,火,レタス,33400,長　野,020,605378,252,,
2025,9,30,火,レタス,33400,群　馬,010,60877,160,,
2025,9,30,火,パセリ,33600,,,2073,4095,101.2,97.9
2025,9,30,火,パセリ,33600,長　野,020,1323,3873,,
2025,9,30,火,パセリ,33600,千　葉,012,179,3412,,
2025,9,30,火,パセリ,33600,北海道,001,142,4133,,
2025,9,30,火,パセリ,33600,大　分,044,114,3869,,
2025,9,30,火,きゅうり,34100,,,501869,481,68.7,98.4
2025,9,30,火,きゅうり,34100,群　馬,010,74273,556,,
2025,9,30,火,きゅうり,34100,北海道,001,61027,417,,
2025,9,30,火,きゅうり,34100,福　島,007,58601,518,,
2025,9,30,火,きゅうり,34100,佐　賀,041,40398,475,,
2025,9,30,火,きゅうり,34100,埼　玉,011,40265,510,,
2025,9,30,火,かぼちゃ,34200,,,386651,206,87.7,98.1
2025,9,30,火,かぼちゃ,34200,北海道,001,363859,180,,
2025,9,30,火,なす,34300,,,284255,389,75.2,93.5
2025,9,30,火,なす,34300,群　馬,010,60266,421,,
2025,9,30,火,なす,34300,茨　城,008,52681,268,,
2025,9,30,火,なす,34300,高　知,039,41150,503,,
2025,9,30,火,なす,34300,栃　木,009,30255,432,,
2025,9,30,火,なす,34300,山　梨,019,20329,337,,
2025,9,30,火,トマト,34400,,,404373,705,70.9,100.1
2025,9,30,火,トマト,34400,岐　阜,021,115693,720,,
2025,9,30,火,トマト,34400,北海道,001,92923,709,,
2025,9,30,火,トマト,34400,千　葉,012,30274,627,,
2025,9,30,火,トマト,34400,青　森,002,22478,706,,
2025,9,30,火,トマト,34400,福　島,007,20684,749,,
2025,9,30,火,ミニトマト,34450,,,134527,1090,63.8,97.7
2025,9,30,火,ミニトマト,34450,北海道,001,42908,1124,,
2025,9,30,火,ミニトマト,34450,茨　城,008,32008,963,,
2025,9,30,火,ミニトマト,34450,青　森,002,9577,1147,,
2025,9,30,火,ミニトマト,34450,千　葉,012,9341,993,,
2025,9,30,火,ミニトマト,34450,山　形,006,6236,1111,,
2025,9,30,火,ピーマン,34500,,,174254,600,78.6,100.7
2025,9,30,火,ピーマン,34500,茨　城,008,46435,672,,
2025,9,30,火,ピーマン,34500,岩　手,003,33673,479,,
2025,9,30,火,ピーマン,34500,大　分,044,18785,591,,
2025,9,30,火,ピーマン,34500,北海道,001,15699,597,,
2025,9,30,火,ピーマン,34500,青　森,002,15604,454,,
2025,9,30,火,ししとう,34600,,,12114,1221,95.9,92.4
2025,9,30,火,ししとう,34600,京　都,026,3258,942,,
2025,9,30,火,ししとう,34600,高　知,039,3250,1781,,
2025,9,30,火,ししとう,34600,千　葉,012,1943,1581,,
2025,9,30,火,ししとう,34600,北海道,001,1086,469,,
2025,9,30,火,ししとう,34600,愛　媛,038,850,759,,
2025,9,30,火,スイトコーン,34700,,,3068,304,60.4,96.2
2025,9,30,火,スイトコーン,34700,北海道,001,1442,264,,
2025,9,30,火,スイトコーン,34700,長　野,020,656,420,,
2025,9,30,火,スイトコーン,34700,大　分,044,540,213,,
2025,9,30,火,さやいんげん,35100,,,8934,1583,94.8,100.3
2025,9,30,火,さやいんげん,35100,福　島,007,3128,1546,,
2025,9,30,火,さやいんげん,35100,鹿児島,046,1466,1601,,
2025,9,30,火,さやいんげん,35100,北海道,001,978,2272,,
2025,9,30,火,さやいんげん,35100,群　馬,010,783,1280,,
2025,9,30,火,さやいんげん,35100,青　森,002,676,1464,,
