年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2025,9,3,水,野菜総計,30000,,,64759,388,0.6,133.8
2025,9,3,水,野菜総計,30000,沖　縄,047,19097,539,,
2025,9,3,水,野菜総計,30000,北海道,001,10980,213,,
2025,9,3,水,野菜総計,30000,群　馬,010,10355,87,,
2025,9,3,水,野菜総計,30000,長　野,020,7235,290,,
2025,9,3,水,野菜総計,30000,熊　本,043,4026,663,,
2025,9,3,水,野菜総計,30000,大　分,044,2549,765,,
2025,9,3,水,野菜総計,30000,宮　崎,045,1413,487,,
2025,9,3,水,だいこん,30100,,,670,221,0.1,168.7
2025,9,3,水,だいこん,30100,北海道,001,670,221,,
2025,9,3,水,かぶ,30200,,,11,675,0.0,324.5
2025,9,3,水,かぶ,30200,千　葉,012,11,675,,
2025,9,3,水,にんじん,30300,,,2436,231,0.4,141.7
2025,9,3,水,にんじん,30300,北海道,001,2100,247,,
2025,9,3,水,ごぼう,30400,,,1140,302,1.7,75.9
2025,9,3,水,ごぼう,30400,鹿児島,046,240,292,,
2025,9,3,水,はくさい,31100,,,4046,183,0.5,160.5
2025,9,3,水,はくさい,31100,長　野,020,4020,179,,
2025,9,3,水,みずな,31300,,,100,810,0.3,164.3
2025,9,3,水,みずな,31300,茨　城,008,100,810,,
2025,9,3,水,こまつな,31500,,,149,560,0.1,127.9
2025,9,3,水,こまつな,31500,沖　縄,047,137,548,,
2025,9,3,水,その他の菜類,31550,,,61,361,7.5,48.6
2025,9,3,水,ちんげんさい,31560,,,53,679,0.2,135.5
2025,9,3,水,ちんげんさい,31560,沖　縄,047,53,679,,
2025,9,3,水,キャベツ,31700,,,10680,86,0.6,103.6
2025,9,3,水,キャベツ,31700,群　馬,010,10330,84,,
2025,9,3,水,ほうれんそう,31800,,,40,1634,0.1,155.6
2025,9,3,水,ほうれんそう,31800,群　馬,010,25,1512,,
2025,9,3,水,ほうれんそう,31800,栃　木,009,15,1836,,
2025,9,3,水,ねぎ,31900,,,1421,540,0.4,110.4
2025,9,3,水,ねぎ,31900,青　森,002,715,646,,
2025,9,3,水,ねぎ,31900,秋　田,005,575,423,,
2025,9,3,水,みつば,32500,,,16,945,0.2,102.8
2025,9,3,水,みつば,32500,埼　玉,011,12,918,,
2025,9,3,水,みつば,32500,千　葉,012,4,1026,,
2025,9,3,水,にら,32800,,,113,790,0.2,112.7
2025,9,3,水,にら,32800,沖　縄,047,48,432,,
2025,9,3,水,にら,32800,福　岡,040,40,972,,
2025,9,3,水,にら,32800,鹿児島,046,25,1188,,
2025,9,3,水,セルリー,32900,,,770,334,1.7,113.2
2025,9,3,水,セルリー,32900,長　野,020,10,648,,
2025,9,3,水,レタス,33400,,,2900,454,0.4,168.8
2025,9,3,水,レタス,33400,長　野,020,2900,454,,
2025,9,3,水,パセリ,33600,,,5,2808,0.2,108.7
2025,9,3,水,パセリ,33600,大　分,044,5,2808,,
