年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2025,9,13,土,野菜総計,30000,,,13014951,295,112.0,105.7
2025,9,13,土,野菜総計,30000,北海道,001,4853507,226,,
2025,9,13,土,野菜総計,30000,長　野,020,2411942,199,,
2025,9,13,土,野菜総計,30000,群　馬,010,1577787,159,,
2025,9,13,土,野菜総計,30000,茨　城,008,614694,435,,
2025,9,13,土,野菜総計,30000,青　森,002,593033,297,,
2025,9,13,土,野菜総計,30000,岩　手,003,322682,257,,
2025,9,13,土,野菜総計,30000,千　葉,012,251285,414,,
2025,9,13,土,だいこん,30100,,,1146059,131,135.8,105.6
2025,9,13,土,だいこん,30100,北海道,001,680806,136,,
2025,9,13,土,だいこん,30100,青　森,002,323962,111,,
2025,9,13,土,かぶ,30200,,,45116,187,105.8,98.9
2025,9,13,土,かぶ,30200,千　葉,012,21225,157,,
2025,9,13,土,かぶ,30200,青　森,002,12568,276,,
2025,9,13,土,かぶ,30200,埼　玉,011,9143,135,,
2025,9,13,土,にんじん,30300,,,769508,150,129.6,100.0
2025,9,13,土,にんじん,30300,北海道,001,741632,151,,
2025,9,13,土,ごぼう,30400,,,87745,361,159.0,88.5
2025,9,13,土,ごぼう,30400,青　森,002,35130,304,,
2025,9,13,土,ごぼう,30400,北海道,001,16390,257,,
2025,9,13,土,ごぼう,30400,鹿児島,046,13907,657,,
2025,9,13,土,ごぼう,30400,群　馬,010,7996,279,,
2025,9,13,土,たけのこ,30500,,,50,713,－,－
2025,9,13,土,たけのこ,30500,鹿児島,046,50,713,,
2025,9,13,土,れんこん,30600,,,101264,408,119.8,102.8
2025,9,13,土,れんこん,30600,茨　城,008,57160,410,,
2025,9,13,土,れんこん,30600,佐　賀,041,18572,323,,
2025,9,13,土,れんこん,30600,徳　島,036,10700,537,,
2025,9,13,土,はくさい,31100,,,1060729,112,109.4,97.4
2025,9,13,土,はくさい,31100,長　野,020,977937,111,,
2025,9,13,土,みずな,31300,,,35542,460,110.7,102.7
2025,9,13,土,みずな,31300,茨　城,008,23295,405,,
2025,9,13,土,みずな,31300,福　岡,040,5667,530,,
2025,9,13,土,こまつな,31500,,,137767,390,113.0,103.7
2025,9,13,土,こまつな,31500,茨　城,008,63104,382,,
2025,9,13,土,こまつな,31500,福　岡,040,26400,350,,
2025,9,13,土,こまつな,31500,群　馬,010,7007,348,,
2025,9,13,土,こまつな,31500,広　島,034,6875,426,,
2025,9,13,土,こまつな,31500,北海道,001,6133,606,,
2025,9,13,土,その他の菜類,31550,,,837,707,102.4,103.1
2025,9,13,土,ちんげんさい,31560,,,30822,508,118.4,104.1
2025,9,13,土,ちんげんさい,31560,茨　城,008,9551,485,,
2025,9,13,土,ちんげんさい,31560,静　岡,022,7859,585,,
2025,9,13,土,ちんげんさい,31560,福　岡,040,3087,504,,
2025,9,13,土,ちんげんさい,31560,長　野,020,2306,325,,
2025,9,13,土,ちんげんさい,31560,埼　玉,011,1764,403,,
2025,9,13,土,キャベツ,31700,,,1762699,96,105.2,101.1
2025,9,13,土,キャベツ,31700,群　馬,010,1234003,94,,
2025,9,13,土,キャベツ,31700,長　野,020,230727,100,,
2025,9,13,土,ほうれんそう,31800,,,63804,1010,111.6,101.3
2025,9,13,土,ほうれんそう,31800,岐　阜,021,23756,1034,,
2025,9,13,土,ほうれんそう,31800,群　馬,010,16212,918,,
2025,9,13,土,ほうれんそう,31800,栃　木,009,11716,1041,,
2025,9,13,土,ねぎ,31900,,,374843,521,117.8,102.8
2025,9,13,土,ねぎ,31900,北海道,001,121366,439,,
2025,9,13,土,ねぎ,31900,青　森,002,42407,507,,
2025,9,13,土,ねぎ,31900,長　野,020,33750,430,,
2025,9,13,土,ねぎ,31900,秋　田,005,32528,447,,
2025,9,13,土,ねぎ,31900,茨　城,008,27883,418,,
2025,9,13,土,みつば,32500,,,12521,967,135.1,98.6
2025,9,13,土,みつば,32500,千　葉,012,2172,851,,
2025,9,13,土,みつば,32500,愛　知,023,1841,1002,,
2025,9,13,土,みつば,32500,静　岡,022,1661,860,,
2025,9,13,土,みつば,32500,埼　玉,011,1541,715,,
2025,9,13,土,みつば,32500,三　重,024,1457,1266,,
2025,9,13,土,しゅんぎく,32600,,,3619,1698,128.9,95.0
2025,9,13,土,しゅんぎく,32600,岐　阜,021,690,1928,,
2025,9,13,土,しゅんぎく,32600,福　岡,040,563,1378,,
2025,9,13,土,しゅんぎく,32600,茨　城,008,543,906,,
2025,9,13,土,しゅんぎく,32600,北海道,001,530,2017,,
2025,9,13,土,しゅんぎく,32600,岩　手,003,513,2124,,
2025,9,13,土,にら,32800,,,55636,956,108.9,99.8
2025,9,13,土,にら,32800,高　知,039,19355,969,,
2025,9,13,土,にら,32800,茨　城,008,6423,1009,,
2025,9,13,土,にら,32800,大　分,044,6305,825,,
2025,9,13,土,にら,32800,北海道,001,5952,1048,,
2025,9,13,土,にら,32800,山　形,006,5832,883,,
2025,9,13,土,セルリー,32900,,,56499,261,116.9,94.9
2025,9,13,土,セルリー,32900,長　野,020,54191,257,,
2025,9,13,土,アスパラガス,33100,,,34738,1149,131.3,101.7
2025,9,13,土,アスパラガス,33100,佐　賀,041,5475,1168,,
2025,9,13,土,アスパラガス,33100,栃　木,009,5265,1117,,
2025,9,13,土,アスパラガス,33100,福　岡,040,3848,1070,,
2025,9,13,土,アスパラガス,33100,熊　本,043,3362,1062,,
2025,9,13,土,アスパラガス,33100,長　野,020,3242,1271,,
2025,9,13,土,　　うち輸入,33101,,,1599,1389,146.8,97.5
2025,9,13,土,カリフラワー,33200,,,17478,315,145.7,97.2
2025,9,13,土,カリフラワー,33200,長　野,020,16360,320,,
2025,9,13,土,ブロッコリー,33300,,,217428,633,121.8,101.6
2025,9,13,土,ブロッコリー,33300,北海道,001,185284,601,,
2025,9,13,土,レタス,33400,,,913520,201,119.8,99.0
2025,9,13,土,レタス,33400,長　野,020,765768,203,,
2025,9,13,土,パセリ,33600,,,2545,3298,124.0,113.0
2025,9,13,土,パセリ,33600,長　野,020,1530,2983,,
2025,9,13,土,パセリ,33600,大　分,044,215,3247,,
2025,9,13,土,パセリ,33600,千　葉,012,198,2787,,
2025,9,13,土,パセリ,33600,北海道,001,180,3664,,
2025,9,13,土,きゅうり,34100,,,569244,430,108.5,100.5
2025,9,13,土,きゅうり,34100,福　島,007,96000,455,,
2025,9,13,土,きゅうり,34100,北海道,001,77811,428,,
2025,9,13,土,きゅうり,34100,群　馬,010,44093,495,,
2025,9,13,土,きゅうり,34100,佐　賀,041,39646,419,,
2025,9,13,土,きゅうり,34100,岩　手,003,34309,394,,
2025,9,13,土,かぼちゃ,34200,,,513081,181,113.7,97.8
2025,9,13,土,かぼちゃ,34200,北海道,001,480429,165,,
2025,9,13,土,　　うち輸入,34201,,,1001,28,…,…
2025,9,13,土,なす,34300,,,303832,400,116.9,98.8
2025,9,13,土,なす,34300,群　馬,010,75782,437,,
2025,9,13,土,なす,34300,茨　城,008,52976,303,,
2025,9,13,土,なす,34300,栃　木,009,30253,438,,
2025,9,13,土,なす,34300,山　梨,019,19891,363,,
2025,9,13,土,なす,34300,徳　島,036,16405,406,,
2025,9,13,土,トマト,34400,,,454340,630,117.9,104.1
2025,9,13,土,トマト,34400,北海道,001,130276,625,,
2025,9,13,土,トマト,34400,岐　阜,021,93236,606,,
2025,9,13,土,トマト,34400,熊　本,043,38640,642,,
2025,9,13,土,トマト,34400,千　葉,012,29098,536,,
2025,9,13,土,トマト,34400,青　森,002,27525,650,,
2025,9,13,土,ミニトマト,34450,,,178710,1131,120.0,100.4
2025,9,13,土,ミニトマト,34450,北海道,001,79466,1172,,
2025,9,13,土,ミニトマト,34450,茨　城,008,39356,996,,
2025,9,13,土,ミニトマト,34450,青　森,002,11273,1241,,
2025,9,13,土,ミニトマト,34450,熊　本,043,6700,1213,,
2025,9,13,土,ミニトマト,34450,千　葉,012,5697,1030,,
2025,9,13,土,ピーマン,34500,,,278274,510,114.4,103.0
2025,9,13,土,ピーマン,34500,岩　手,003,59788,406,,
2025,9,13,土,ピーマン,34500,茨　城,008,55950,534,,
2025,9,13,土,ピーマン,34500,大　分,044,42584,526,,
2025,9,13,土,ピーマン,34500,青　森,002,40135,359,,
2025,9,13,土,ピーマン,34500,北海道,001,17151,591,,
2025,9,13,土,ししとう,34600,,,13438,1283,142.4,91.5
2025,9,13,土,ししとう,34600,高　知,039,4342,1650,,
2025,9,13,土,ししとう,34600,京　都,026,3621,1126,,
2025,9,13,土,ししとう,34600,千　葉,012,1780,1541,,
2025,9,13,土,ししとう,34600,愛　媛,038,672,805,,
2025,9,13,土,ししとう,34600,大　分,044,446,605,,
2025,9,13,土,スイトコーン,34700,,,42340,299,222.3,86.2
2025,9,13,土,スイトコーン,34700,北海道,001,32697,296,,
2025,9,13,土,スイトコーン,34700,群　馬,010,5215,305,,
2025,9,13,土,さやいんげん,35100,,,8252,1399,116.3,99.6
2025,9,13,土,さやいんげん,35100,福　島,007,2265,1368,,
2025,9,13,土,さやいんげん,35100,群　馬,010,1786,1219,,
2025,9,13,土,さやいんげん,35100,北海道,001,1505,1780,,
2025,9,13,土,さやいんげん,35100,青　森,002,1026,1236,,
2025,9,13,土,さやいんげん,35100,岩　手,003,452,1305,,
2025,9,13,土,さやえんどう,35200,,,2287,2164,157.7,96.0
2025,9,13,土,さやえんどう,35200,北海道,001,1233,2956,,
2025,9,13,土,さやえんどう,35200,青　森,002,8,4226,,
2025,9,13,土,さやえんどう,35200,岩　手,003,7,3086,,
2025,9,13,土,さやえんどう,35200,秋　田,005,3,2448,,
2025,9,13,土,　　うち輸入,35201,,,1036,1199,160.6,98.0
2025,9,13,土,えだまめ,35500,,,55658,825,88.7,100.7
2025,9,13,土,えだまめ,35500,秋　田,005,19256,615,,
2025,9,13,土,えだまめ,35500,山　形,006,16868,845,,
2025,9,13,土,えだまめ,35500,群　馬,010,8129,1138,,
2025,9,13,土,えだまめ,35500,京　都,026,2921,1403,,
2025,9,13,土,かんしょ,36100,,,436915,294,137.6,100.7
2025,9,13,土,かんしょ,36100,茨　城,008,195217,289,,
2025,9,13,土,かんしょ,36100,千　葉,012,130890,279,,
2025,9,13,土,かんしょ,36100,徳　島,036,65995,328,,
2025,9,13,土,ばれいしょ,36200,,,879455,158,87.5,103.9
2025,9,13,土,ばれいしょ,36200,北海道,001,855755,157,,
2025,9,13,土,さといも,36300,,,54373,422,130.6,99.5
2025,9,13,土,さといも,36300,千　葉,012,26240,370,,
2025,9,13,土,さといも,36300,静　岡,022,8462,524,,
2025,9,13,土,さといも,36300,宮　崎,045,6595,397,,
2025,9,13,土,さといも,36300,愛　媛,038,4116,474,,
2025,9,13,土,やまのいも,36500,,,133782,509,100.5,101.2
2025,9,13,土,やまのいも,36500,北海道,001,75725,503,,
2025,9,13,土,やまのいも,36500,青　森,002,50932,492,,
2025,9,13,土,たまねぎ,36610,,,1351526,165,91.3,115.4
2025,9,13,土,たまねぎ,36610,北海道,001,1101263,160,,
2025,9,13,土,　　うち輸入,36620,,,84331,97,165.4,88.2
2025,9,13,土,にんにく,36700,,,20871,1291,173.3,140.3
2025,9,13,土,にんにく,36700,青　森,002,9648,2204,,
2025,9,13,土,にんにく,36700,北海道,001,143,1776,,
2025,9,13,土,にんにく,36700,長　崎,042,88,441,,
2025,9,13,土,にんにく,36700,宮　城,004,50,1080,,
2025,9,13,土,にんにく,36700,香　川,037,46,1728,,
2025,9,13,土,　　うち輸入,36701,,,10806,478,128.3,104.8
2025,9,13,土,しょうが,37200,,,35399,976,130.1,103.5
2025,9,13,土,しょうが,37200,高　知,039,14987,1316,,
2025,9,13,土,しょうが,37200,長　崎,042,4897,795,,
2025,9,13,土,しょうが,37200,千　葉,012,3130,704,,
2025,9,13,土,しょうが,37200,和歌山,030,2760,681,,
2025,9,13,土,しょうが,37200,熊　本,043,1281,1215,,
2025,9,13,土,　　うち輸入,37201,,,6932,555,141.4,100.4
2025,9,13,土,生しいたけ,38100,,,66767,992,142.2,99.9
2025,9,13,土,生しいたけ,38100,徳　島,036,19032,943,,
2025,9,13,土,生しいたけ,38100,秋　田,005,8452,1129,,
2025,9,13,土,生しいたけ,38100,長　崎,042,4311,1010,,
2025,9,13,土,生しいたけ,38100,福　島,007,3392,877,,
2025,9,13,土,生しいたけ,38100,岩　手,003,2990,1009,,
2025,9,13,土,　　うち輸入,38101,,,1481,771,191.8,99.2
2025,9,13,土,なめこ,38300,,,36002,442,158.4,101.8
2025,9,13,土,なめこ,38300,長　野,020,12348,429,,
2025,9,13,土,なめこ,38300,新　潟,015,4594,238,,
2025,9,13,土,なめこ,38300,三　重,024,4538,597,,
2025,9,13,土,なめこ,38300,山　形,006,3785,466,,
2025,9,13,土,なめこ,38300,大　分,044,2871,518,,
2025,9,13,土,えのきだけ,38400,,,156161,326,129.3,101.6
2025,9,13,土,えのきだけ,38400,長　野,020,97403,341,,
2025,9,13,土,えのきだけ,38400,新　潟,015,22978,311,,
2025,9,13,土,えのきだけ,38400,宮　崎,045,12186,295,,
2025,9,13,土,しめじ,38500,,,116140,449,136.4,100.4
2025,9,13,土,しめじ,38500,長　野,020,73918,406,,
2025,9,13,土,しめじ,38500,福　岡,040,19484,444,,
2025,9,13,土,その他の野菜,39000,,,377446,1009,124.6,96.8
2025,9,13,土,輸入野菜計,39100,,,182546,467,147.1,81.6
2025,9,13,土,他の輸入野菜,39200,,,75365,843,131.6,86.4
