年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2025,9,6,土,野菜総計,30000,,,10866632,308,105.8,101.3
2025,9,6,土,野菜総計,30000,北海道,001,3907182,230,,
2025,9,6,土,野菜総計,30000,長　野,020,1631056,242,,
2025,9,6,土,野菜総計,30000,群　馬,010,1488347,152,,
2025,9,6,土,野菜総計,30000,青　森,002,547339,319,,
2025,9,6,土,野菜総計,30000,茨　城,008,488223,442,,
2025,9,6,土,野菜総計,30000,岩　手,003,402603,240,,
2025,9,6,土,野菜総計,30000,岐　阜,021,226185,568,,
2025,9,6,土,だいこん,30100,,,897047,126,115.1,96.9
2025,9,6,土,だいこん,30100,北海道,001,496555,132,,
2025,9,6,土,だいこん,30100,青　森,002,274911,112,,
2025,9,6,土,かぶ,30200,,,30838,221,93.5,112.8
2025,9,6,土,かぶ,30200,青　森,002,14900,275,,
2025,9,6,土,かぶ,30200,千　葉,012,11866,174,,
2025,9,6,土,にんじん,30300,,,771757,155,129.3,100.6
2025,9,6,土,にんじん,30300,北海道,001,744893,156,,
2025,9,6,土,ごぼう,30400,,,63857,406,136.1,94.9
2025,9,6,土,ごぼう,30400,青　森,002,24602,312,,
2025,9,6,土,ごぼう,30400,鹿児島,046,13548,632,,
2025,9,6,土,ごぼう,30400,北海道,001,9880,289,,
2025,9,6,土,ごぼう,30400,宮　崎,045,5781,606,,
2025,9,6,土,れんこん,30600,,,75183,378,99.0,99.5
2025,9,6,土,れんこん,30600,茨　城,008,45978,387,,
2025,9,6,土,れんこん,30600,佐　賀,041,15922,321,,
2025,9,6,土,はくさい,31100,,,621620,127,92.8,99.2
2025,9,6,土,はくさい,31100,長　野,020,571165,127,,
2025,9,6,土,みずな,31300,,,34382,470,118.4,96.5
2025,9,6,土,みずな,31300,茨　城,008,23492,427,,
2025,9,6,土,みずな,31300,福　岡,040,5160,517,,
2025,9,6,土,こまつな,31500,,,122921,395,107.7,99.7
2025,9,6,土,こまつな,31500,茨　城,008,55846,386,,
2025,9,6,土,こまつな,31500,福　岡,040,27132,364,,
2025,9,6,土,こまつな,31500,群　馬,010,8529,360,,
2025,9,6,土,こまつな,31500,広　島,034,5494,395,,
2025,9,6,土,こまつな,31500,北海道,001,5124,584,,
2025,9,6,土,その他の菜類,31550,,,630,758,75.4,114.0
2025,9,6,土,ちんげんさい,31560,,,24932,500,93.8,104.8
2025,9,6,土,ちんげんさい,31560,茨　城,008,7900,482,,
2025,9,6,土,ちんげんさい,31560,静　岡,022,6645,552,,
2025,9,6,土,ちんげんさい,31560,福　岡,040,1977,497,,
2025,9,6,土,ちんげんさい,31560,愛　知,023,1479,458,,
2025,9,6,土,ちんげんさい,31560,長　野,020,1418,362,,
2025,9,6,土,キャベツ,31700,,,1574913,89,106.6,98.9
2025,9,6,土,キャベツ,31700,群　馬,010,1203126,88,,
2025,9,6,土,キャベツ,31700,岩　手,003,169130,89,,
2025,9,6,土,ほうれんそう,31800,,,54966,1042,110.7,100.2
2025,9,6,土,ほうれんそう,31800,岐　阜,021,22777,1062,,
2025,9,6,土,ほうれんそう,31800,群　馬,010,12131,944,,
2025,9,6,土,ほうれんそう,31800,栃　木,009,9650,1090,,
2025,9,6,土,ねぎ,31900,,,330668,515,129.1,97.7
2025,9,6,土,ねぎ,31900,北海道,001,116931,442,,
2025,9,6,土,ねぎ,31900,青　森,002,35216,517,,
2025,9,6,土,ねぎ,31900,長　野,020,27993,427,,
2025,9,6,土,ねぎ,31900,茨　城,008,26740,390,,
2025,9,6,土,ねぎ,31900,秋　田,005,26304,436,,
2025,9,6,土,うど,32400,,,88,604,88.0,114.8
2025,9,6,土,うど,32400,栃　木,009,88,604,,
2025,9,6,土,みつば,32500,,,9035,928,105.7,103.2
2025,9,6,土,みつば,32500,愛　知,023,1352,1014,,
2025,9,6,土,みつば,32500,静　岡,022,1333,791,,
2025,9,6,土,みつば,32500,千　葉,012,1289,804,,
2025,9,6,土,みつば,32500,大　分,044,1072,856,,
2025,9,6,土,みつば,32500,三　重,024,1062,1151,,
2025,9,6,土,しゅんぎく,32600,,,2776,1791,115.3,102.6
2025,9,6,土,しゅんぎく,32600,岐　阜,021,624,2193,,
2025,9,6,土,しゅんぎく,32600,北海道,001,494,1569,,
2025,9,6,土,しゅんぎく,32600,福　岡,040,453,1548,,
2025,9,6,土,しゅんぎく,32600,岩　手,003,297,2156,,
2025,9,6,土,しゅんぎく,32600,熊　本,043,295,660,,
2025,9,6,土,にら,32800,,,53048,776,100.4,105.1
2025,9,6,土,にら,32800,高　知,039,16400,740,,
2025,9,6,土,にら,32800,北海道,001,7027,968,,
2025,9,6,土,にら,32800,山　形,006,6416,730,,
2025,9,6,土,にら,32800,大　分,044,6350,715,,
2025,9,6,土,にら,32800,茨　城,008,5861,706,,
2025,9,6,土,セルリー,32900,,,43710,296,99.5,101.7
2025,9,6,土,セルリー,32900,長　野,020,42273,292,,
2025,9,6,土,アスパラガス,33100,,,33141,1127,115.5,97.5
2025,9,6,土,アスパラガス,33100,栃　木,009,4870,1115,,
2025,9,6,土,アスパラガス,33100,佐　賀,041,4357,1149,,
2025,9,6,土,アスパラガス,33100,熊　本,043,3637,1056,,
2025,9,6,土,アスパラガス,33100,長　野,020,3619,1268,,
2025,9,6,土,アスパラガス,33100,長　崎,042,3293,1032,,
2025,9,6,土,　　うち輸入,33101,,,1033,1301,108.3,79.4
2025,9,6,土,カリフラワー,33200,,,11690,338,138.5,101.2
2025,9,6,土,カリフラワー,33200,長　野,020,11588,337,,
2025,9,6,土,ブロッコリー,33300,,,164087,626,102.4,109.2
2025,9,6,土,ブロッコリー,33300,北海道,001,130016,592,,
2025,9,6,土,ブロッコリー,33300,長　野,020,27148,781,,
2025,9,6,土,レタス,33400,,,670030,250,95.9,94.3
2025,9,6,土,レタス,33400,長　野,020,546960,255,,
2025,9,6,土,パセリ,33600,,,2520,2731,114.9,101.0
2025,9,6,土,パセリ,33600,長　野,020,1745,2469,,
2025,9,6,土,パセリ,33600,千　葉,012,194,2056,,
2025,9,6,土,パセリ,33600,北海道,001,178,3102,,
2025,9,6,土,きゅうり,34100,,,562992,408,98.0,99.5
2025,9,6,土,きゅうり,34100,福　島,007,123978,441,,
2025,9,6,土,きゅうり,34100,北海道,001,76505,425,,
2025,9,6,土,きゅうり,34100,岩　手,003,42187,377,,
2025,9,6,土,きゅうり,34100,長　野,020,37199,407,,
2025,9,6,土,きゅうり,34100,宮　城,004,29205,402,,
2025,9,6,土,かぼちゃ,34200,,,350291,190,104.8,97.9
2025,9,6,土,かぼちゃ,34200,北海道,001,304290,158,,
2025,9,6,土,　　うち輸入,34201,,,1421,62,1421.0,193.8
2025,9,6,土,なす,34300,,,252204,395,101.4,100.0
2025,9,6,土,なす,34300,群　馬,010,60000,434,,
2025,9,6,土,なす,34300,茨　城,008,49776,314,,
2025,9,6,土,なす,34300,栃　木,009,31426,443,,
2025,9,6,土,なす,34300,山　梨,019,14746,356,,
2025,9,6,土,なす,34300,徳　島,036,10277,439,,
2025,9,6,土,トマト,34400,,,555045,578,119.5,100.7
2025,9,6,土,トマト,34400,岐　阜,021,151623,590,,
2025,9,6,土,トマト,34400,北海道,001,90877,588,,
2025,9,6,土,トマト,34400,熊　本,043,65338,475,,
2025,9,6,土,トマト,34400,青　森,002,37800,587,,
2025,9,6,土,トマト,34400,福　島,007,35721,668,,
2025,9,6,土,ミニトマト,34450,,,182469,1165,102.9,97.3
2025,9,6,土,ミニトマト,34450,北海道,001,86294,1164,,
2025,9,6,土,ミニトマト,34450,茨　城,008,29596,1140,,
2025,9,6,土,ミニトマト,34450,青　森,002,14939,1247,,
2025,9,6,土,ミニトマト,34450,熊　本,043,8808,1107,,
2025,9,6,土,ミニトマト,34450,千　葉,012,6333,1112,,
2025,9,6,土,ピーマン,34500,,,246669,506,109.5,98.6
2025,9,6,土,ピーマン,34500,岩　手,003,72379,418,,
2025,9,6,土,ピーマン,34500,大　分,044,39638,551,,
2025,9,6,土,ピーマン,34500,茨　城,008,37539,559,,
2025,9,6,土,ピーマン,34500,青　森,002,33693,372,,
2025,9,6,土,ピーマン,34500,北海道,001,16921,549,,
2025,9,6,土,ししとう,34600,,,11390,1322,116.1,93.4
2025,9,6,土,ししとう,34600,高　知,039,3862,1619,,
2025,9,6,土,ししとう,34600,京　都,026,3429,1243,,
2025,9,6,土,ししとう,34600,千　葉,012,1327,1441,,
2025,9,6,土,ししとう,34600,愛　媛,038,812,846,,
2025,9,6,土,スイトコーン,34700,,,77146,312,110.9,97.8
2025,9,6,土,スイトコーン,34700,北海道,001,62389,310,,
2025,9,6,土,さやいんげん,35100,,,7540,1327,112.7,99.0
2025,9,6,土,さやいんげん,35100,福　島,007,1865,1283,,
2025,9,6,土,さやいんげん,35100,群　馬,010,1654,1174,,
2025,9,6,土,さやいんげん,35100,青　森,002,1439,1216,,
2025,9,6,土,さやいんげん,35100,北海道,001,825,1888,,
2025,9,6,土,さやいんげん,35100,岩　手,003,616,1239,,
2025,9,6,土,さやえんどう,35200,,,1911,2128,134.9,77.8
