年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2025,9,2,火,野菜総計,30000,,,11699469,290,84.3,95.1
2025,9,2,火,野菜総計,30000,北海道,001,4493681,218,,
2025,9,2,火,野菜総計,30000,長　野,020,1908653,230,,
2025,9,2,火,野菜総計,30000,群　馬,010,1585210,146,,
2025,9,2,火,野菜総計,30000,青　森,002,464820,307,,
2025,9,2,火,野菜総計,30000,茨　城,008,462022,440,,
2025,9,2,火,野菜総計,30000,岩　手,003,349003,262,,
2025,9,2,火,野菜総計,30000,福　島,007,238469,504,,
2025,9,2,火,だいこん,30100,,,1002616,131,104.3,101.6
2025,9,2,火,だいこん,30100,北海道,001,640637,136,,
2025,9,2,火,だいこん,30100,青　森,002,210641,112,,
2025,9,2,火,かぶ,30200,,,32047,208,114.4,94.1
2025,9,2,火,かぶ,30200,千　葉,012,13923,174,,
2025,9,2,火,かぶ,30200,青　森,002,12166,272,,
2025,9,2,火,にんじん,30300,,,671157,163,84.5,99.4
2025,9,2,火,にんじん,30300,北海道,001,639824,165,,
2025,9,2,火,ごぼう,30400,,,66713,398,119.1,93.4
2025,9,2,火,ごぼう,30400,青　森,002,25463,314,,
2025,9,2,火,ごぼう,30400,鹿児島,046,17452,564,,
2025,9,2,火,ごぼう,30400,北海道,001,6072,236,,
2025,9,2,火,ごぼう,30400,群　馬,010,5437,438,,
2025,9,2,火,れんこん,30600,,,81216,380,109.9,102.7
2025,9,2,火,れんこん,30600,茨　城,008,46901,371,,
2025,9,2,火,れんこん,30600,佐　賀,041,11106,317,,
2025,9,2,火,れんこん,30600,愛　知,023,8680,354,,
2025,9,2,火,はくさい,31100,,,825901,114,99.1,104.6
2025,9,2,火,はくさい,31100,長　野,020,764606,114,,
2025,9,2,火,みずな,31300,,,31188,493,86.9,106.5
2025,9,2,火,みずな,31300,茨　城,008,22018,423,,
2025,9,2,火,みずな,31300,福　岡,040,3481,624,,
2025,9,2,火,こまつな,31500,,,115983,438,80.1,104.3
2025,9,2,火,こまつな,31500,茨　城,008,48831,410,,
2025,9,2,火,こまつな,31500,福　岡,040,19175,464,,
2025,9,2,火,こまつな,31500,群　馬,010,14761,349,,
2025,9,2,火,こまつな,31500,広　島,034,6503,467,,
2025,9,2,火,こまつな,31500,埼　玉,011,5911,437,,
