年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2025,9,16,火,野菜総計,30000,,,19898929,290,******,96.0
2025,9,16,火,野菜総計,30000,北海道,001,6702906,239,,
2025,9,16,火,野菜総計,30000,長　野,020,4748547,164,,
2025,9,16,火,野菜総計,30000,群　馬,010,2288449,190,,
2025,9,16,火,野菜総計,30000,茨　城,008,835496,446,,
2025,9,16,火,野菜総計,30000,青　森,002,796555,315,,
2025,9,16,火,野菜総計,30000,岩　手,003,628146,269,,
2025,9,16,火,野菜総計,30000,千　葉,012,409572,445,,
2025,9,16,火,だいこん,30100,,,1446411,131,******,93.6
2025,9,16,火,だいこん,30100,北海道,001,899573,134,,
2025,9,16,火,だいこん,30100,青　森,002,387379,117,,
2025,9,16,火,かぶ,30200,,,46657,196,－,－
2025,9,16,火,かぶ,30200,千　葉,012,22934,160,,
2025,9,16,火,かぶ,30200,青　森,002,14025,289,,
2025,9,16,火,かぶ,30200,埼　玉,011,8065,136,,
2025,9,16,火,にんじん,30300,,,1061288,148,******,57.8
2025,9,16,火,にんじん,30300,北海道,001,1030363,149,,
2025,9,16,火,ごぼう,30400,,,125346,344,******,90.1
2025,9,16,火,ごぼう,30400,青　森,002,67032,292,,
2025,9,16,火,ごぼう,30400,北海道,001,20050,223,,
2025,9,16,火,ごぼう,30400,鹿児島,046,17268,650,,
2025,9,16,火,れんこん,30600,,,112413,416,－,－
2025,9,16,火,れんこん,30600,茨　城,008,63167,427,,
2025,9,16,火,れんこん,30600,佐　賀,041,18432,348,,
2025,9,16,火,れんこん,30600,愛　知,023,12172,331,,
2025,9,16,火,はくさい,31100,,,2173736,94,******,39.0
2025,9,16,火,はくさい,31100,長　野,020,2078116,93,,
2025,9,16,火,みずな,31300,,,54106,434,******,59.9
2025,9,16,火,みずな,31300,茨　城,008,38867,402,,
2025,9,16,火,みずな,31300,福　岡,040,7082,478,,
2025,9,16,火,こまつな,31500,,,216640,386,******,98.2
2025,9,16,火,こまつな,31500,茨　城,008,107435,379,,
2025,9,16,火,こまつな,31500,福　岡,040,36117,370,,
2025,9,16,火,こまつな,31500,群　馬,010,23738,335,,
2025,9,16,火,こまつな,31500,北海道,001,8444,577,,
2025,9,16,火,その他の菜類,31550,,,751,724,397.4,161.6
2025,9,16,火,ちんげんさい,31560,,,38552,487,******,79.2
2025,9,16,火,ちんげんさい,31560,茨　城,008,13659,502,,
2025,9,16,火,ちんげんさい,31560,長　野,020,6451,346,,
2025,9,16,火,ちんげんさい,31560,静　岡,022,6013,574,,
2025,9,16,火,ちんげんさい,31560,福　岡,040,4044,505,,
