年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2025,9,5,金,野菜総計,30000,,,10272841,304,74.9,97.1
2025,9,5,金,野菜総計,30000,北海道,001,3951175,228,,
2025,9,5,金,野菜総計,30000,長　野,020,1671300,235,,
2025,9,5,金,野菜総計,30000,群　馬,010,1364857,154,,
2025,9,5,金,野菜総計,30000,茨　城,008,474673,437,,
2025,9,5,金,野菜総計,30000,青　森,002,377955,326,,
2025,9,5,金,野菜総計,30000,岩　手,003,291390,284,,
2025,9,5,金,野菜総計,30000,福　島,007,208632,501,,
2025,9,5,金,だいこん,30100,,,779330,130,81.7,101.6
2025,9,5,金,だいこん,30100,北海道,001,476627,132,,
2025,9,5,金,だいこん,30100,青　森,002,198360,116,,
2025,9,5,金,かぶ,30200,,,32994,196,94.1,88.3
2025,9,5,金,かぶ,30200,千　葉,012,19354,168,,
2025,9,5,金,かぶ,30200,青　森,002,8819,282,,
2025,9,5,金,にんじん,30300,,,596800,154,74.1,94.5
2025,9,5,金,にんじん,30300,北海道,001,578229,156,,
2025,9,5,金,ごぼう,30400,,,46903,428,74.6,99.1
2025,9,5,金,ごぼう,30400,鹿児島,046,12983,631,,
2025,9,5,金,ごぼう,30400,北海道,001,10420,286,,
2025,9,5,金,ごぼう,30400,青　森,002,8454,358,,
2025,9,5,金,ごぼう,30400,群　馬,010,4257,433,,
2025,9,5,金,ごぼう,30400,宮　崎,045,3283,602,,
2025,9,5,金,れんこん,30600,,,75928,380,91.4,100.5
2025,9,5,金,れんこん,30600,茨　城,008,50379,380,,
2025,9,5,金,れんこん,30600,佐　賀,041,9459,269,,
2025,9,5,金,れんこん,30600,徳　島,036,6654,503,,
2025,9,5,金,はくさい,31100,,,669591,128,66.8,112.3
2025,9,5,金,はくさい,31100,長　野,020,606510,129,,
2025,9,5,金,みずな,31300,,,29027,487,78.5,98.6
2025,9,5,金,みずな,31300,茨　城,008,19974,432,,
2025,9,5,金,みずな,31300,福　岡,040,4218,569,,
2025,9,5,金,こまつな,31500,,,114112,396,67.1,96.4
2025,9,5,金,こまつな,31500,茨　城,008,47219,387,,
2025,9,5,金,こまつな,31500,福　岡,040,27700,366,,
2025,9,5,金,こまつな,31500,群　馬,010,10209,349,,
2025,9,5,金,こまつな,31500,北海道,001,4987,583,,
2025,9,5,金,こまつな,31500,埼　玉,011,4621,421,,
2025,9,5,金,その他の菜類,31550,,,836,665,93.3,89.4
2025,9,5,金,ちんげんさい,31560,,,26576,477,76.2,97.1
2025,9,5,金,ちんげんさい,31560,茨　城,008,8134,436,,
2025,9,5,金,ちんげんさい,31560,静　岡,022,6299,553,,
2025,9,5,金,ちんげんさい,31560,長　野,020,2973,328,,
2025,9,5,金,ちんげんさい,31560,福　岡,040,2127,527,,
2025,9,5,金,ちんげんさい,31560,愛　知,023,1596,438,,
2025,9,5,金,キャベツ,31700,,,1477363,90,72.9,104.7
2025,9,5,金,キャベツ,31700,群　馬,010,1089266,87,,
2025,9,5,金,キャベツ,31700,長　野,020,157294,101,,
2025,9,5,金,ほうれんそう,31800,,,49660,1040,69.7,102.6
2025,9,5,金,ほうれんそう,31800,岐　阜,021,20182,1057,,
2025,9,5,金,ほうれんそう,31800,群　馬,010,10900,986,,
2025,9,5,金,ほうれんそう,31800,栃　木,009,8703,1063,,
2025,9,5,金,ねぎ,31900,,,256142,527,65.5,105.0
2025,9,5,金,ねぎ,31900,北海道,001,81709,449,,
2025,9,5,金,ねぎ,31900,長　野,020,26711,422,,
2025,9,5,金,ねぎ,31900,茨　城,008,20812,403,,
2025,9,5,金,ねぎ,31900,秋　田,005,20350,440,,
2025,9,5,金,ねぎ,31900,青　森,002,19393,477,,
2025,9,5,金,ふき,32300,,,8,1323,100.0,100.0
2025,9,5,金,ふき,32300,徳　島,036,8,1323,,
2025,9,5,金,うど,32400,,,100,526,83.3,95.8
2025,9,5,金,うど,32400,栃　木,009,92,546,,
2025,9,5,金,みつば,32500,,,8546,899,95.0,100.3
2025,9,5,金,みつば,32500,千　葉,012,1290,763,,
2025,9,5,金,みつば,32500,静　岡,022,1193,848,,
2025,9,5,金,みつば,32500,大　分,044,1173,858,,
2025,9,5,金,みつば,32500,三　重,024,1003,1080,,
2025,9,5,金,みつば,32500,愛　知,023,965,1035,,
2025,9,5,金,しゅんぎく,32600,,,2407,1746,83.8,93.6
2025,9,5,金,しゅんぎく,32600,福　岡,040,451,1527,,
2025,9,5,金,しゅんぎく,32600,北海道,001,407,1594,,
2025,9,5,金,しゅんぎく,32600,岐　阜,021,378,1933,,
2025,9,5,金,しゅんぎく,32600,群　馬,010,366,2099,,
2025,9,5,金,しゅんぎく,32600,岩　手,003,180,2225,,
2025,9,5,金,にら,32800,,,52828,738,87.3,101.0
2025,9,5,金,にら,32800,高　知,039,17056,681,,
2025,9,5,金,にら,32800,茨　城,008,6764,670,,
2025,9,5,金,にら,32800,山　形,006,6556,716,,
2025,9,5,金,にら,32800,北海道,001,6542,947,,
2025,9,5,金,にら,32800,大　分,044,6370,691,,
2025,9,5,金,セルリー,32900,,,43937,291,94.6,100.7
2025,9,5,金,セルリー,32900,長　野,020,42814,290,,
2025,9,5,金,アスパラガス,33100,,,28685,1156,55.8,103.1
2025,9,5,金,アスパラガス,33100,栃　木,009,5120,1137,,
2025,9,5,金,アスパラガス,33100,佐　賀,041,3857,1157,,
2025,9,5,金,アスパラガス,33100,福　岡,040,3259,1109,,
2025,9,5,金,アスパラガス,33100,長　崎,042,2628,1013,,
2025,9,5,金,アスパラガス,33100,熊　本,043,2489,1102,,
2025,9,5,金,　　うち輸入,33101,,,954,1638,126.2,86.0
2025,9,5,金,カリフラワー,33200,,,8443,334,71.9,106.7
2025,9,5,金,カリフラワー,33200,長　野,020,8222,332,,
2025,9,5,金,ブロッコリー,33300,,,160178,573,90.1,93.0
2025,9,5,金,ブロッコリー,33300,北海道,001,134898,537,,
2025,9,5,金,レタス,33400,,,698341,265,66.7,102.7
2025,9,5,金,レタス,33400,長　野,020,586684,271,,
2025,9,5,金,パセリ,33600,,,2193,2704,83.8,99.3
2025,9,5,金,パセリ,33600,長　野,020,1398,2434,,
2025,9,5,金,パセリ,33600,千　葉,012,216,2073,,
2025,9,5,金,パセリ,33600,北海道,001,163,3127,,
2025,9,5,金,きゅうり,34100,,,574633,410,56.3,100.0
2025,9,5,金,きゅうり,34100,福　島,007,136849,446,,
2025,9,5,金,きゅうり,34100,北海道,001,77235,410,,
2025,9,5,金,きゅうり,34100,岩　手,003,40569,378,,
2025,9,5,金,きゅうり,34100,長　野,020,32242,422,,
2025,9,5,金,きゅうり,34100,佐　賀,041,31173,392,,
2025,9,5,金,かぼちゃ,34200,,,334148,194,79.9,95.6
2025,9,5,金,かぼちゃ,34200,北海道,001,301533,167,,
2025,9,5,金,　　うち輸入,34201,,,100,32,7.7,32.7
2025,9,5,金,なす,34300,,,248688,395,56.7,101.8
2025,9,5,金,なす,34300,群　馬,010,65219,427,,
2025,9,5,金,なす,34300,茨　城,008,37008,310,,
2025,9,5,金,なす,34300,栃　木,009,35223,440,,
2025,9,5,金,なす,34300,山　梨,019,22622,357,,
2025,9,5,金,なす,34300,徳　島,036,15963,431,,
2025,9,5,金,トマト,34400,,,464342,574,53.2,101.2
2025,9,5,金,トマト,34400,岐　阜,021,122544,582,,
2025,9,5,金,トマト,34400,北海道,001,79394,589,,
2025,9,5,金,トマト,34400,熊　本,043,67744,460,,
2025,9,5,金,トマト,34400,福　島,007,34111,660,,
2025,9,5,金,トマト,34400,群　馬,010,26622,562,,
2025,9,5,金,ミニトマト,34450,,,177357,1197,68.9,99.9
2025,9,5,金,ミニトマト,34450,北海道,001,88677,1187,,
2025,9,5,金,ミニトマト,34450,茨　城,008,32175,1168,,
2025,9,5,金,ミニトマト,34450,青　森,002,13699,1287,,
2025,9,5,金,ミニトマト,34450,熊　本,043,5772,1193,,
2025,9,5,金,ミニトマト,34450,岩　手,003,5241,1094,,
2025,9,5,金,ピーマン,34500,,,225216,513,70.3,104.5
2025,9,5,金,ピーマン,34500,岩　手,003,66402,412,,
2025,9,5,金,ピーマン,34500,茨　城,008,41894,548,,
2025,9,5,金,ピーマン,34500,大　分,044,32666,532,,
2025,9,5,金,ピーマン,34500,北海道,001,18963,570,,
2025,9,5,金,ピーマン,34500,青　森,002,18963,425,,
2025,9,5,金,ししとう,34600,,,9810,1416,68.1,100.9
2025,9,5,金,ししとう,34600,高　知,039,3925,1524,,
2025,9,5,金,ししとう,34600,京　都,026,2900,1519,,
2025,9,5,金,ししとう,34600,千　葉,012,1414,1501,,
2025,9,5,金,スイトコーン,34700,,,69561,319,94.4,98.5
2025,9,5,金,スイトコーン,34700,北海道,001,58445,322,,
2025,9,5,金,さやいんげん,35100,,,6690,1341,54.2,99.9
2025,9,5,金,さやいんげん,35100,福　島,007,2535,1232,,
2025,9,5,金,さやいんげん,35100,群　馬,010,1375,1125,,
2025,9,5,金,さやいんげん,35100,北海道,001,827,2040,,
2025,9,5,金,さやいんげん,35100,青　森,002,753,1295,,
2025,9,5,金,さやえんどう,35200,,,1417,2734,73.7,121.0
2025,9,5,金,さやえんどう,35200,北海道,001,927,3468,,
2025,9,5,金,さやえんどう,35200,青　森,002,8,4091,,
2025,9,5,金,さやえんどう,35200,岩　手,003,1,4860,,
2025,9,5,金,さやえんどう,35200,長　野,020,1,2160,,
2025,9,5,金,　　うち輸入,35201,,,480,1289,53.2,134.8
2025,9,5,金,えだまめ,35500,,,54467,926,77.4,98.2
2025,9,5,金,えだまめ,35500,山　形,006,20115,921,,
2025,9,5,金,えだまめ,35500,群　馬,010,11449,1127,,
2025,9,5,金,えだまめ,35500,秋　田,005,11386,823,,
2025,9,5,金,えだまめ,35500,新　潟,015,2566,855,,
2025,9,5,金,かんしょ,36100,,,301812,295,85.1,99.0
2025,9,5,金,かんしょ,36100,茨　城,008,141464,264,,
2025,9,5,金,かんしょ,36100,千　葉,012,83675,303,,
2025,9,5,金,かんしょ,36100,徳　島,036,43300,363,,
2025,9,5,金,ばれいしょ,36200,,,832726,171,126.5,94.0
2025,9,5,金,ばれいしょ,36200,北海道,001,806666,170,,
2025,9,5,金,さといも,36300,,,27679,420,66.3,96.8
2025,9,5,金,さといも,36300,千　葉,012,16751,342,,
2025,9,5,金,さといも,36300,宮　崎,045,4831,447,,
2025,9,5,金,さといも,36300,静　岡,022,3448,752,,
2025,9,5,金,やまのいも,36500,,,181882,507,122.7,100.6
2025,9,5,金,やまのいも,36500,北海道,001,122230,500,,
2025,9,5,金,やまのいも,36500,青　森,002,55128,508,,
2025,9,5,金,たまねぎ,36610,,,1019264,141,86.2,95.3
2025,9,5,金,たまねぎ,36610,北海道,001,887796,132,,
2025,9,5,金,　　うち輸入,36620,,,32441,112,42.4,109.8
2025,9,5,金,にんにく,36700,,,11799,1104,78.9,82.1
2025,9,5,金,にんにく,36700,青　森,002,4529,1992,,
2025,9,5,金,にんにく,36700,香　川,037,348,1711,,
2025,9,5,金,にんにく,36700,北海道,001,248,1559,,
2025,9,5,金,にんにく,36700,兵　庫,028,101,108,,
2025,9,5,金,にんにく,36700,長　野,020,40,837,,
2025,9,5,金,　　うち輸入,36701,,,6475,452,86.1,91.3
2025,9,5,金,しょうが,37200,,,25368,903,79.4,98.0
2025,9,5,金,しょうが,37200,高　知,039,9432,1253,,
2025,9,5,金,しょうが,37200,和歌山,030,3904,653,,
2025,9,5,金,しょうが,37200,長　崎,042,3614,755,,
2025,9,5,金,しょうが,37200,千　葉,012,2023,753,,
2025,9,5,金,しょうが,37200,熊　本,043,690,1126,,
2025,9,5,金,　　うち輸入,37201,,,4674,546,88.5,97.0
2025,9,5,金,生しいたけ,38100,,,43862,976,76.1,101.0
2025,9,5,金,生しいたけ,38100,徳　島,036,12087,917,,
2025,9,5,金,生しいたけ,38100,秋　田,005,5839,1142,,
2025,9,5,金,生しいたけ,38100,長　崎,042,3722,911,,
2025,9,5,金,生しいたけ,38100,岩　手,003,2660,1068,,
2025,9,5,金,生しいたけ,38100,新　潟,015,2265,939,,
2025,9,5,金,　　うち輸入,38101,,,1142,734,99.3,94.8
2025,9,5,金,なめこ,38300,,,20869,423,84.3,96.1
2025,9,5,金,なめこ,38300,長　野,020,4945,441,,
2025,9,5,金,なめこ,38300,新　潟,015,3667,205,,
2025,9,5,金,なめこ,38300,山　形,006,3346,457,,
2025,9,5,金,なめこ,38300,三　重,024,2018,582,,
2025,9,5,金,なめこ,38300,大　分,044,1352,507,,
2025,9,5,金,えのきだけ,38400,,,105141,302,75.6,99.7
