年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2025,9,4,木,野菜総計,30000,,,13724059,313,******,80.7
2025,9,4,木,野菜総計,30000,北海道,001,4389536,246,,
2025,9,4,木,野菜総計,30000,長　野,020,2487492,226,,
2025,9,4,木,野菜総計,30000,群　馬,010,1915621,165,,
2025,9,4,木,野菜総計,30000,青　森,002,574412,365,,
2025,9,4,木,野菜総計,30000,茨　城,008,572941,447,,
2025,9,4,木,野菜総計,30000,岩　手,003,495195,285,,
2025,9,4,木,野菜総計,30000,福　島,007,390883,504,,
2025,9,4,木,だいこん,30100,,,953486,128,******,57.9
2025,9,4,木,だいこん,30100,北海道,001,628885,132,,
2025,9,4,木,だいこん,30100,青　森,002,203905,109,,
2025,9,4,木,かぶ,30200,,,35070,222,******,32.9
2025,9,4,木,かぶ,30200,千　葉,012,16228,173,,
2025,9,4,木,かぶ,30200,青　森,002,13800,301,,
2025,9,4,木,にんじん,30300,,,805594,163,******,70.6
2025,9,4,木,にんじん,30300,北海道,001,772918,164,,
2025,9,4,木,ごぼう,30400,,,62845,432,5512.7,143.0
2025,9,4,木,ごぼう,30400,鹿児島,046,20088,562,,
2025,9,4,木,ごぼう,30400,青　森,002,17627,373,,
2025,9,4,木,ごぼう,30400,宮　崎,045,8777,517,,
2025,9,4,木,ごぼう,30400,群　馬,010,6930,371,,
2025,9,4,木,たけのこ,30500,,,48,686,－,－
2025,9,4,木,たけのこ,30500,鹿児島,046,48,686,,
2025,9,4,木,れんこん,30600,,,83057,378,－,－
2025,9,4,木,れんこん,30600,茨　城,008,49452,371,,
2025,9,4,木,れんこん,30600,佐　賀,041,13402,308,,
2025,9,4,木,れんこん,30600,徳　島,036,9054,484,,
2025,9,4,木,はくさい,31100,,,1002990,114,******,62.3
2025,9,4,木,はくさい,31100,長　野,020,944094,114,,
2025,9,4,木,みずな,31300,,,36958,494,******,61.0
2025,9,4,木,みずな,31300,茨　城,008,25322,436,,
2025,9,4,木,みずな,31300,福　岡,040,5236,585,,
2025,9,4,木,こまつな,31500,,,170027,411,******,73.4
2025,9,4,木,こまつな,31500,茨　城,008,72042,396,,
2025,9,4,木,こまつな,31500,福　岡,040,34245,414,,
2025,9,4,木,こまつな,31500,群　馬,010,27229,342,,
2025,9,4,木,こまつな,31500,北海道,001,6858,572,,
2025,9,4,木,その他の菜類,31550,,,896,744,1468.9,206.1
2025,9,4,木,ちんげんさい,31560,,,34858,491,******,72.3
2025,9,4,木,ちんげんさい,31560,茨　城,008,9816,453,,
2025,9,4,木,ちんげんさい,31560,静　岡,022,9250,547,,
2025,9,4,木,ちんげんさい,31560,長　野,020,4666,385,,
2025,9,4,木,ちんげんさい,31560,福　岡,040,2280,614,,
2025,9,4,木,ちんげんさい,31560,愛　知,023,1834,411,,
2025,9,4,木,キャベツ,31700,,,2027286,86,******,100.0
2025,9,4,木,キャベツ,31700,群　馬,010,1459729,83,,
2025,9,4,木,キャベツ,31700,長　野,020,218612,94,,
2025,9,4,木,ほうれんそう,31800,,,71199,1014,******,62.1
2025,9,4,木,ほうれんそう,31800,岐　阜,021,30732,1036,,
2025,9,4,木,ほうれんそう,31800,群　馬,010,15443,970,,
2025,9,4,木,ほうれんそう,31800,栃　木,009,11781,1020,,
2025,9,4,木,ねぎ,31900,,,390851,502,******,93.0
2025,9,4,木,ねぎ,31900,北海道,001,135555,427,,
2025,9,4,木,ねぎ,31900,秋　田,005,45246,430,,
2025,9,4,木,ねぎ,31900,青　森,002,40063,489,,
2025,9,4,木,ねぎ,31900,長　野,020,32726,424,,
2025,9,4,木,ねぎ,31900,茨　城,008,26182,396,,
2025,9,4,木,ふき,32300,,,8,1323,－,－
2025,9,4,木,ふき,32300,徳　島,036,8,1323,,
