年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2025,9,25,木,野菜総計,30000,,,11541564,287,95.8,97.6
2025,9,25,木,野菜総計,30000,北海道,001,4133523,219,,
2025,9,25,木,野菜総計,30000,長　野,020,2405510,169,,
2025,9,25,木,野菜総計,30000,群　馬,010,1337601,160,,
2025,9,25,木,野菜総計,30000,茨　城,008,558237,427,,
2025,9,25,木,野菜総計,30000,青　森,002,519363,321,,
2025,9,25,木,野菜総計,30000,岩　手,003,259531,264,,
2025,9,25,木,野菜総計,30000,千　葉,012,257339,426,,
2025,9,25,木,だいこん,30100,,,769971,146,101.7,98.6
2025,9,25,木,だいこん,30100,北海道,001,390808,147,,
2025,9,25,木,だいこん,30100,青　森,002,259193,144,,
2025,9,25,木,かぶ,30200,,,45545,193,94.3,103.2
2025,9,25,木,かぶ,30200,千　葉,012,24997,156,,
2025,9,25,木,かぶ,30200,青　森,002,12295,310,,
2025,9,25,木,にんじん,30300,,,687343,139,105.1,102.2
2025,9,25,木,にんじん,30300,北海道,001,667971,139,,
2025,9,25,木,ごぼう,30400,,,82383,343,128.6,95.5
2025,9,25,木,ごぼう,30400,青　森,002,44687,266,,
2025,9,25,木,ごぼう,30400,鹿児島,046,13795,692,,
2025,9,25,木,ごぼう,30400,北海道,001,7750,229,,
2025,9,25,木,たけのこ,30500,,,30,641,－,－
2025,9,25,木,たけのこ,30500,鹿児島,046,30,641,,
2025,9,25,木,れんこん,30600,,,91439,408,129.0,91.3
2025,9,25,木,れんこん,30600,茨　城,008,50218,417,,
2025,9,25,木,れんこん,30600,佐　賀,041,14503,327,,
2025,9,25,木,れんこん,30600,愛　知,023,11148,347,,
2025,9,25,木,はくさい,31100,,,1226108,98,111.2,101.0
2025,9,25,木,はくさい,31100,長　野,020,1120916,97,,
2025,9,25,木,みずな,31300,,,34356,506,97.7,101.0
2025,9,25,木,みずな,31300,茨　城,008,22892,465,,
2025,9,25,木,みずな,31300,福　岡,040,4330,553,,
2025,9,25,木,みずな,31300,滋　賀,025,2262,555,,
2025,9,25,木,こまつな,31500,,,128342,442,88.2,102.6
2025,9,25,木,こまつな,31500,茨　城,008,60069,442,,
2025,9,25,木,こまつな,31500,福　岡,040,21607,418,,
2025,9,25,木,こまつな,31500,群　馬,010,9155,413,,
2025,9,25,木,こまつな,31500,北海道,001,5853,549,,
2025,9,25,木,こまつな,31500,広　島,034,5069,415,,
2025,9,25,木,その他の菜類,31550,,,1001,668,182.7,83.3
2025,9,25,木,ちんげんさい,31560,,,27818,518,93.1,101.4
2025,9,25,木,ちんげんさい,31560,茨　城,008,9526,546,,
2025,9,25,木,ちんげんさい,31560,静　岡,022,5585,566,,
2025,9,25,木,ちんげんさい,31560,長　野,020,3125,354,,
2025,9,25,木,ちんげんさい,31560,愛　知,023,2028,505,,
2025,9,25,木,ちんげんさい,31560,福　岡,040,1634,502,,
2025,9,25,木,キャベツ,31700,,,1598125,94,89.5,102.2
2025,9,25,木,キャベツ,31700,群　馬,010,1085195,92,,
2025,9,25,木,キャベツ,31700,長　野,020,230337,97,,
2025,9,25,木,ほうれんそう,31800,,,44089,1082,89.1,103.3
2025,9,25,木,ほうれんそう,31800,岐　阜,021,17287,1073,,
2025,9,25,木,ほうれんそう,31800,群　馬,010,9527,1038,,
2025,9,25,木,ほうれんそう,31800,栃　木,009,6150,1208,,
2025,9,25,木,ほうれんそう,31800,北海道,001,3888,924,,
2025,9,25,木,ねぎ,31900,,,337048,526,94.0,100.0
2025,9,25,木,ねぎ,31900,北海道,001,115874,474,,
2025,9,25,木,ねぎ,31900,青　森,002,41801,533,,
2025,9,25,木,ねぎ,31900,秋　田,005,37030,486,,
2025,9,25,木,ねぎ,31900,長　野,020,32150,427,,
2025,9,25,木,ねぎ,31900,茨　城,008,14565,407,,
2025,9,25,木,みつば,32500,,,8196,1159,100.1,102.9
2025,9,25,木,みつば,32500,愛　知,023,1172,1087,,
2025,9,25,木,みつば,32500,三　重,024,1165,1619,,
2025,9,25,木,みつば,32500,千　葉,012,1076,1010,,
2025,9,25,木,みつば,32500,静　岡,022,1048,1164,,
2025,9,25,木,みつば,32500,大　分,044,859,997,,
2025,9,25,木,しゅんぎく,32600,,,2977,1680,111.1,92.7
2025,9,25,木,しゅんぎく,32600,北海道,001,779,1439,,
2025,9,25,木,しゅんぎく,32600,岐　阜,021,521,2144,,
2025,9,25,木,しゅんぎく,32600,福　岡,040,371,1318,,
2025,9,25,木,しゅんぎく,32600,岩　手,003,339,2070,,
2025,9,25,木,しゅんぎく,32600,大　阪,027,273,1260,,
2025,9,25,木,にら,32800,,,49282,919,106.6,98.4
2025,9,25,木,にら,32800,高　知,039,16294,863,,
2025,9,25,木,にら,32800,大　分,044,6350,850,,
2025,9,25,木,にら,32800,茨　城,008,6331,927,,
2025,9,25,木,にら,32800,北海道,001,4665,1104,,
2025,9,25,木,にら,32800,山　形,006,4032,942,,
2025,9,25,木,セルリー,32900,,,43440,261,105.0,100.4
2025,9,25,木,セルリー,32900,長　野,020,40385,256,,
2025,9,25,木,アスパラガス,33100,,,20528,1160,82.2,99.1
2025,9,25,木,アスパラガス,33100,佐　賀,041,3454,1171,,
2025,9,25,木,アスパラガス,33100,長　崎,042,2689,1018,,
2025,9,25,木,アスパラガス,33100,熊　本,043,2355,1033,,
2025,9,25,木,アスパラガス,33100,福　岡,040,2028,1082,,
2025,9,25,木,アスパラガス,33100,栃　木,009,1713,1173,,
2025,9,25,木,　　うち輸入,33101,,,1879,1450,81.1,103.2
2025,9,25,木,カリフラワー,33200,,,10860,293,63.0,102.1
2025,9,25,木,カリフラワー,33200,長　野,020,7412,311,,
2025,9,25,木,カリフラワー,33200,北海道,001,1302,257,,
2025,9,25,木,ブロッコリー,33300,,,157661,609,83.3,99.0
2025,9,25,木,ブロッコリー,33300,北海道,001,123581,565,,
2025,9,25,木,ブロッコリー,33300,長　野,020,32926,781,,
2025,9,25,木,レタス,33400,,,838882,178,73.9,113.4
2025,9,25,木,レタス,33400,長　野,020,739889,173,,
2025,9,25,木,パセリ,33600,,,2133,3755,105.0,100.9
2025,9,25,木,パセリ,33600,長　野,020,1435,3679,,
2025,9,25,木,パセリ,33600,大　分,044,168,3479,,
2025,9,25,木,パセリ,33600,北海道,001,151,4059,,
2025,9,25,木,きゅうり,34100,,,425463,469,69.6,100.4
2025,9,25,木,きゅうり,34100,群　馬,010,61545,541,,
2025,9,25,木,きゅうり,34100,北海道,001,48839,421,,
2025,9,25,木,きゅうり,34100,福　島,007,47698,503,,
2025,9,25,木,きゅうり,34100,佐　賀,041,43988,469,,
2025,9,25,木,きゅうり,34100,埼　玉,011,24241,505,,
2025,9,25,木,かぼちゃ,34200,,,414157,195,134.6,96.1
2025,9,25,木,かぼちゃ,34200,北海道,001,392712,175,,
2025,9,25,木,　　うち輸入,34201,,,200,648,－,－
2025,9,25,木,なす,34300,,,232967,396,77.6,97.5
2025,9,25,木,なす,34300,群　馬,010,41591,430,,
2025,9,25,木,なす,34300,高　知,039,36755,457,,
2025,9,25,木,なす,34300,茨　城,008,34100,324,,
2025,9,25,木,なす,34300,栃　木,009,23120,435,,
2025,9,25,木,なす,34300,熊　本,043,17818,369,,
2025,9,25,木,トマト,34400,,,530444,691,82.6,98.9
2025,9,25,木,トマト,34400,北海道,001,126534,691,,
2025,9,25,木,トマト,34400,岐　阜,021,100950,734,,
2025,9,25,木,トマト,34400,熊　本,043,75145,565,,
2025,9,25,木,トマト,34400,千　葉,012,39320,614,,
2025,9,25,木,トマト,34400,福　島,007,30768,791,,
2025,9,25,木,ミニトマト,34450,,,137301,1102,66.6,99.1
2025,9,25,木,ミニトマト,34450,北海道,001,36661,1142,,
2025,9,25,木,ミニトマト,34450,茨　城,008,34922,961,,
2025,9,25,木,ミニトマト,34450,千　葉,012,9198,1006,,
2025,9,25,木,ミニトマト,34450,山　形,006,8350,1186,,
2025,9,25,木,ミニトマト,34450,青　森,002,7870,1245,,
2025,9,25,木,ピーマン,34500,,,200841,523,84.8,102.5
2025,9,25,木,ピーマン,34500,岩　手,003,51209,404,,
2025,9,25,木,ピーマン,34500,茨　城,008,42779,593,,
2025,9,25,木,ピーマン,34500,青　森,002,23070,409,,
2025,9,25,木,ピーマン,34500,大　分,044,18543,532,,
2025,9,25,木,ピーマン,34500,北海道,001,14593,565,,
2025,9,25,木,ししとう,34600,,,12993,1259,101.4,97.1
2025,9,25,木,ししとう,34600,高　知,039,3888,1711,,
2025,9,25,木,ししとう,34600,京　都,026,3312,1089,,
2025,9,25,木,ししとう,34600,千　葉,012,1781,1591,,
2025,9,25,木,ししとう,34600,愛　媛,038,1095,744,,
2025,9,25,木,ししとう,34600,長　崎,042,697,566,,
2025,9,25,木,スイトコーン,34700,,,11686,344,52.8,108.5
2025,9,25,木,スイトコーン,34700,北海道,001,10396,333,,
2025,9,25,木,さやいんげん,35100,,,6034,1554,84.8,101.0
2025,9,25,木,さやいんげん,35100,福　島,007,1318,1461,,
2025,9,25,木,さやいんげん,35100,鹿児島,046,1096,1443,,
2025,9,25,木,さやいんげん,35100,群　馬,010,899,1331,,
