年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2025,9,12,金,野菜総計,30000,,,11624586,279,79.7,92.4
2025,9,12,金,野菜総計,30000,北海道,001,4681898,210,,
2025,9,12,金,野菜総計,30000,長　野,020,2066019,196,,
2025,9,12,金,野菜総計,30000,群　馬,010,1454542,158,,
2025,9,12,金,野菜総計,30000,茨　城,008,500908,438,,
2025,9,12,金,野菜総計,30000,青　森,002,486439,264,,
2025,9,12,金,野菜総計,30000,岩　手,003,318787,247,,
2025,9,12,金,野菜総計,30000,千　葉,012,192195,423,,
2025,9,12,金,だいこん,30100,,,844241,124,95.3,98.4
2025,9,12,金,だいこん,30100,北海道,001,437761,130,,
2025,9,12,金,だいこん,30100,青　森,002,277982,105,,
2025,9,12,金,かぶ,30200,,,42628,189,99.8,94.0
2025,9,12,金,かぶ,30200,千　葉,012,22956,158,,
2025,9,12,金,かぶ,30200,青　森,002,11010,293,,
2025,9,12,金,かぶ,30200,埼　玉,011,6419,132,,
2025,9,12,金,にんじん,30300,,,593719,150,66.0,99.3
2025,9,12,金,にんじん,30300,北海道,001,571206,151,,
2025,9,12,金,ごぼう,30400,,,55186,408,65.4,110.3
2025,9,12,金,ごぼう,30400,鹿児島,046,15510,621,,
2025,9,12,金,ごぼう,30400,北海道,001,11760,257,,
2025,9,12,金,ごぼう,30400,青　森,002,10632,399,,
2025,9,12,金,ごぼう,30400,群　馬,010,4944,323,,
2025,9,12,金,ごぼう,30400,茨　城,008,3664,295,,
2025,9,12,金,れんこん,30600,,,84553,397,88.1,100.8
2025,9,12,金,れんこん,30600,茨　城,008,52993,398,,
2025,9,12,金,れんこん,30600,佐　賀,041,10939,300,,
2025,9,12,金,れんこん,30600,愛　知,023,7490,357,,
2025,9,12,金,はくさい,31100,,,969854,115,72.8,93.5
2025,9,12,金,はくさい,31100,長　野,020,886255,115,,
2025,9,12,金,みずな,31300,,,32120,448,82.4,103.0
2025,9,12,金,みずな,31300,茨　城,008,22086,394,,
2025,9,12,金,みずな,31300,福　岡,040,4303,529,,
2025,9,12,金,こまつな,31500,,,121958,376,67.6,97.9
2025,9,12,金,こまつな,31500,茨　城,008,52756,379,,
2025,9,12,金,こまつな,31500,福　岡,040,24758,335,,
2025,9,12,金,こまつな,31500,群　馬,010,9799,340,,
2025,9,12,金,こまつな,31500,埼　玉,011,5798,364,,
2025,9,12,金,こまつな,31500,和歌山,030,5200,287,,
2025,9,12,金,その他の菜類,31550,,,817,686,108.1,83.6
2025,9,12,金,ちんげんさい,31560,,,26031,488,82.7,98.8
2025,9,12,金,ちんげんさい,31560,茨　城,008,8426,455,,
2025,9,12,金,ちんげんさい,31560,静　岡,022,6652,560,,
2025,9,12,金,ちんげんさい,31560,埼　玉,011,2020,415,,
2025,9,12,金,ちんげんさい,31560,長　野,020,1966,353,,
2025,9,12,金,ちんげんさい,31560,福　岡,040,1803,468,,
2025,9,12,金,キャベツ,31700,,,1676192,95,81.8,101.1
2025,9,12,金,キャベツ,31700,群　馬,010,1160804,92,,
2025,9,12,金,キャベツ,31700,長　野,020,203931,105,,
