年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2025,9,17,水,野菜総計,30000,,,926872,185,4.7,63.8
2025,9,17,水,野菜総計,30000,北海道,001,902347,178,,
2025,9,17,水,野菜総計,30000,茨　城,008,15658,335,,
2025,9,17,水,野菜総計,30000,群　馬,010,1804,595,,
2025,9,17,水,野菜総計,30000,高　知,039,780,1241,,
2025,9,17,水,野菜総計,30000,栃　木,009,690,501,,
2025,9,17,水,野菜総計,30000,香　川,037,550,338,,
2025,9,17,水,野菜総計,30000,千　葉,012,446,490,,
2025,9,17,水,だいこん,30100,,,68618,119,4.7,90.8
2025,9,17,水,だいこん,30100,北海道,001,68568,119,,
2025,9,17,水,かぶ,30200,,,1024,185,2.2,94.4
2025,9,17,水,かぶ,30200,北海道,001,1024,185,,
2025,9,17,水,にんじん,30300,,,80075,109,7.5,73.6
2025,9,17,水,にんじん,30300,北海道,001,77575,110,,
2025,9,17,水,ごぼう,30400,,,4420,219,3.5,63.7
2025,9,17,水,ごぼう,30400,北海道,001,4400,211,,
2025,9,17,水,れんこん,30600,,,20,594,0.0,142.8
2025,9,17,水,れんこん,30600,茨　城,008,20,594,,
2025,9,17,水,はくさい,31100,,,44379,97,2.0,103.2
2025,9,17,水,はくさい,31100,北海道,001,44379,97,,
2025,9,17,水,みずな,31300,,,1192,676,2.2,155.8
2025,9,17,水,みずな,31300,北海道,001,1192,676,,
2025,9,17,水,こまつな,31500,,,4825,559,2.2,144.8
2025,9,17,水,こまつな,31500,北海道,001,4825,559,,
2025,9,17,水,その他の菜類,31550,,,24,540,3.2,74.6
2025,9,17,水,ちんげんさい,31560,,,1073,548,2.8,112.5
2025,9,17,水,ちんげんさい,31560,北海道,001,1073,548,,
2025,9,17,水,キャベツ,31700,,,59288,82,2.4,84.5
2025,9,17,水,キャベツ,31700,北海道,001,59288,82,,
2025,9,17,水,ほうれんそう,31800,,,3245,874,2.7,90.4
2025,9,17,水,ほうれんそう,31800,北海道,001,3245,874,,
2025,9,17,水,ねぎ,31900,,,19464,391,3.6,76.7
2025,9,17,水,ねぎ,31900,北海道,001,19346,385,,
2025,9,17,水,みつば,32500,,,134,2196,1.2,213.4
2025,9,17,水,みつば,32500,北海道,001,134,2196,,
