年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2025,9,24,水,野菜総計,30000,,,12046441,294,922.2,117.6
2025,9,24,水,野菜総計,30000,北海道,001,4198908,230,,
2025,9,24,水,野菜総計,30000,長　野,020,2689072,167,,
2025,9,24,水,野菜総計,30000,群　馬,010,1593336,187,,
2025,9,24,水,野菜総計,30000,茨　城,008,593019,482,,
2025,9,24,水,野菜総計,30000,青　森,002,472264,323,,
2025,9,24,水,野菜総計,30000,岩　手,003,336125,279,,
2025,9,24,水,野菜総計,30000,千　葉,012,307172,455,,
2025,9,24,水,だいこん,30100,,,756906,148,885.4,135.8
2025,9,24,水,だいこん,30100,北海道,001,398429,150,,
2025,9,24,水,だいこん,30100,青　森,002,251589,143,,
2025,9,24,水,かぶ,30200,,,48300,187,－,－
2025,9,24,水,かぶ,30200,千　葉,012,23686,153,,
2025,9,24,水,かぶ,30200,青　森,002,12676,277,,
2025,9,24,水,かぶ,30200,埼　玉,011,8408,113,,
2025,9,24,水,にんじん,30300,,,654288,136,1363.1,95.8
2025,9,24,水,にんじん,30300,北海道,001,631876,136,,
2025,9,24,水,ごぼう,30400,,,64047,359,608.7,112.5
2025,9,24,水,ごぼう,30400,青　森,002,37940,308,,
2025,9,24,水,ごぼう,30400,北海道,001,9140,251,,
2025,9,24,水,ごぼう,30400,鹿児島,046,8348,682,,
2025,9,24,水,れんこん,30600,,,70891,447,590.7,160.8
2025,9,24,水,れんこん,30600,茨　城,008,52595,433,,
2025,9,24,水,れんこん,30600,徳　島,036,9900,501,,
2025,9,24,水,はくさい,31100,,,1102654,97,586.3,101.0
2025,9,24,水,はくさい,31100,長　野,020,1022086,96,,
2025,9,24,水,みずな,31300,,,35181,501,1352.1,87.3
2025,9,24,水,みずな,31300,茨　城,008,26239,459,,
2025,9,24,水,みずな,31300,福　岡,040,2486,514,,
2025,9,24,水,こまつな,31500,,,145478,431,2080.3,100.7
2025,9,24,水,こまつな,31500,茨　城,008,75986,427,,
2025,9,24,水,こまつな,31500,福　岡,040,22034,396,,
2025,9,24,水,こまつな,31500,群　馬,010,12133,394,,
2025,9,24,水,こまつな,31500,北海道,001,7337,524,,
2025,9,24,水,その他の菜類,31550,,,548,802,4215.4,232.5
2025,9,24,水,ちんげんさい,31560,,,29873,511,1328.3,86.9
2025,9,24,水,ちんげんさい,31560,茨　城,008,9339,533,,
2025,9,24,水,ちんげんさい,31560,静　岡,022,8578,563,,
2025,9,24,水,ちんげんさい,31560,長　野,020,3199,363,,
2025,9,24,水,ちんげんさい,31560,福　岡,040,2182,479,,
2025,9,24,水,ちんげんさい,31560,埼　玉,011,1869,453,,
2025,9,24,水,キャベツ,31700,,,1784803,92,2022.7,90.2
2025,9,24,水,キャベツ,31700,群　馬,010,1187596,91,,
2025,9,24,水,キャベツ,31700,長　野,020,303693,93,,
2025,9,24,水,ほうれんそう,31800,,,49475,1047,2045.3,78.3
2025,9,24,水,ほうれんそう,31800,岐　阜,021,18784,1048,,
2025,9,24,水,ほうれんそう,31800,群　馬,010,14207,968,,
2025,9,24,水,ほうれんそう,31800,栃　木,009,6457,1146,,
2025,9,24,水,ほうれんそう,31800,北海道,001,3663,889,,
2025,9,24,水,ねぎ,31900,,,358512,526,1223.9,99.6
2025,9,24,水,ねぎ,31900,北海道,001,136979,468,,
2025,9,24,水,ねぎ,31900,秋　田,005,43295,496,,
2025,9,24,水,ねぎ,31900,青　森,002,35520,536,,
2025,9,24,水,ねぎ,31900,長　野,020,34443,432,,
2025,9,24,水,ねぎ,31900,茨　城,008,17923,432,,
2025,9,24,水,うど,32400,,,8,626,－,－
2025,9,24,水,うど,32400,栃　木,009,4,810,,
2025,9,24,水,うど,32400,茨　城,008,4,443,,
2025,9,24,水,みつば,32500,,,8191,1126,1374.3,106.2
2025,9,24,水,みつば,32500,千　葉,012,1404,983,,
2025,9,24,水,みつば,32500,三　重,024,1321,1433,,
2025,9,24,水,みつば,32500,愛　知,023,1221,1078,,
2025,9,24,水,みつば,32500,静　岡,022,965,1133,,
2025,9,24,水,みつば,32500,茨　城,008,830,977,,
2025,9,24,水,しゅんぎく,32600,,,2679,1813,651.8,149.5
2025,9,24,水,しゅんぎく,32600,北海道,001,678,1523,,
2025,9,24,水,しゅんぎく,32600,岩　手,003,573,2047,,
2025,9,24,水,しゅんぎく,32600,群　馬,010,333,1878,,
2025,9,24,水,しゅんぎく,32600,岐　阜,021,278,2152,,
2025,9,24,水,しゅんぎく,32600,青　森,002,189,1869,,
2025,9,24,水,にら,32800,,,46214,934,684.1,105.9
